A	a
ABSURDE'Z	a b - s u r - d e z
ABSURDE'ZA	a b - s u r - d e - z a
ABSU'RDO	a b - s u r - d o
ABSÍ'NTIO	a b - s í n - t i o
ABULI'A	a - b u - l i - a
ABULÍ'CO	a - b u - l í - c o
ABUNDA'NTE	a - b u n - d a n - t e
ABUNDA'R	a - b u n - d a r
ABUNDÂ'NCIA	a - b u n - d â n - c i a
ABURGUESA'R	a - b u r - g u e - s a r
ABUSA'R	a - b u - s a r
ABUSI'VO	a - b u - s i - v o
ABU'SO	a - b u - s o
ABU'TRE	a - b u - t r e
ABÓ'BADA	a - b ó - b a - d a
ABÓ'BORA	a - b ó - b o - r a
ACABADO'TE	a - c a - b a - d o - t e
ACABA'R	a - c a - b a r
ACABRUNHA'DO	a - c a - b r u - n h a - d o
ACADEMI'A	a - c a - d e - m i - a
ACADEMI'SMO	a - c a - d e - m i s - m o
ACADÉ'MICO	a - c a - d é - m i - c o
ACALCA'R	a - c a l - c a r
ACALENTA'R	a - c a - l e n - t a r
ACALE'NTO	a - c a - l e n - t o
ACALMA'R	a - c a l - m a r
ACALMI'A	a - c a l - m i - a
ACALORA'R	a - c a - l o - r a r
ACALÇA'R	a - c a l - ç a r
ACA'MA	a - c a - m a
ACAMA'R	a - c a - m a r
ACAMPA'R	a - c a m - p a r
ACANHA'R	a - c a - n h a r
ACA'NHO	a - c a - n h o
ACANTONA'R	a - c a n - t o - n a r
ACARICIADO'R	a - c a - r i - c i a - d o r
ACARICIA'NTE	a - c a - r i - c i - a n - t e
ACARICIA'R	a - c a - r i - c i - a r
ACARICIATI'VO	a - c a - r i - c i a - t i - v o
ACARINHA'R	a - c a - r i - n h a r
ACARRETA'R	a - c a - r r e - t a r
ACARTA'R	a - c a r - t a r
ACASALA'R	a - c a - s a - l a r
ACA'SO	a - c a - s o
ACASTANHA'DO	a - c a s - t a - n h a - d o
ACASTELA'R	a - c a s - t e - l a r
ACATADO'R	a - c a - t a - d o r
ACATA'R	a - c a - t a r
ACA'TO	a - c a - t o
ACATÓ'LICO	a - c a - t ó - l i - c o
ACAUTELA'R	a - c a u - t e - l a r
ACAVALA'DO	a - c a - v a - l a - d o
ACEDE'NTE	a - c e - d e n - t e
ACEDE'R	a - c e - d e r
ACEDIO'SO	a - c e - d i - o - s o
ACEDÊ'NCIA	a - c e - d ê n - c i a
ACEFALI'A	a - c e - f a - l i - a
ACEFÁ'LICO	a - c e - f á - l i - c o
ACEITABILIDA'DE	a - c e i - t a - b i - l i - d a - d e
ACEITADO'R	a - c e i - t a - d o r
ACEITA'NTE	a - c e i - t a n - t e
ACEITA'R	a - c e i - t a r
ACE'ITE	a - c e i - t e
ACELERADO'R	a - c e - l e - r a - d o r
ACELERA'NTE	a - c e - l e - r a n - t e
ACELERA'R	a - c e - l e - r a r
ACENA'R	a - c e - n a r
ACENDA'LHA	a - c e n - d a - l h a
ACENDE'R	a - c e n - d e r
ACE'NO	a - c e - n o
ACE'NTO	a - c e n - t o
ACENTUA'L	a - c e n - t u - a l
ACENTUA'R	a - c e n - t u - a r
ACEPI'PE	a - c e - p i - p e
ACERBA'R	a - c e r - b a r
ACE'RCA	a - c e r - c a
ACERCA'R	a - c e r - c a r
ACERRIMAME'NTE	a - c e - r r i - m a - m e n - t e
ACERTA'R	a - c e r - t a r
ACE'RTO	a - c e r - t o
ACE'RVO	a - c e r - v o
ACE'SO	a - c e - s o
ACE'SSO	a - c e - s s o
ACESSÃ'O	a - c e - s s ã o
ACESSÍ'VEL	a - c e - s s í - v e l
ACESSÓ'RIO	a - c e - s s ó - r i o
ACETA'L	a - c e - t a l
ACETA'TO	a - c e - t a - t o
ACETILE'NO	a - c e - t i - l e - n o
ACETINA'R	a - c e - t i - n a r
ACETO'NA	a - c e - t o - n a
ACEÇÃ'O	a - c e - ç ã o
A'CHA	a - c h a
ACHA'DA	a - c h a - d a
ACHA'DO	a - c h a - d o
ACHA'QUE	a - c h a - q u e
ACHA'R	a - c h a r
ACHATADE'LA	a - c h a - t a - d e - l a
ACHATADU'RA	a - c h a - t a - d u - r a
ACHATA'R	a - c h a - t a r
ACHE'GA	a - c h e - g a
ACHEGA'R	a - c h e - g a r
ACHE'GO	a - c h e - g o
ACHINCALHA'R	a - c h i n - c a - l h a r
ACHINELA'R	a - c h i - n e - l a r
ACHINESA'R	a - c h i - n e - s a r
ACHOCOLATA'DO	a - c h o - c o - l a - t a - d o
ACICATA'R	a - c i - c a - t a r
ACICA'TE	a - c i - c a - t e
ACICULA'R	a - c i - c u - l a r
ACIDA'R	a - c i - d a r
ACIDENTA'L	a - c i - d e n - t a l
ACIDENTA'R	a - c i - d e n - t a r
ACIDE'NTE	a - c i - d e n - t e
ACIDE'Z	a - c i - d e z
ACIDIFICA'NTE	a - c i - d i - f i - c a n - t e
ACIDIFICA'R	a - c i - d i - f i - c a r
ACIDÓ'FILO	a - c i - d ó - f i - l o
ACILAÇÃ'O	a - c i - l a - ç ã o
ACI'MA	a - c i - m a
ACINZA'R	a - c i n - z a r
ACINZENTA'R	a - c i n - z e n - t a r
ACINÉ'TICO	a - c i - n é - t i - c o
ACIONA'DO	a - c i o - n a - d o
ACIONADO'R	a - c i o - n a - d o r
ACIONA'L	a - c i o - n a l
ACIONA'R	a - c i o - n a r
ACIONI'STA	a - c i o - n i s - t a
ACIRRA'NTE	a - c i - r r a n - t e
ACIRRA'R	a - c i - r r a r
ACITRINA'R	a - c i - t r i - n a r
ACLAMA'R	a - c l a - m a r
ACLAMATI'VO	a - c l a - m a - t i - v o
ACLARA'R	a - c l a - r a r
ACLIMA'R	a - c l i - m a r
ACLIMATA'R	a - c l i - m a - t a r
ACLIMATIZA'R	a - c l i - m a - t i - z a r
ACLI'VE	a - c l i - v e
A'CNE	a c - n e
ACOBARDA'R	a - c o - b a r - d a r
ACOBERTA'R	a - c o - b e r - t a r
ACOCA'DO	a - c o - c a - d o
ACOCORA'R	a - c o - c o - r a r
ACOIMA'R	a - c o i - m a r
ACOITA'R	a - c o i - t a r
ACO'ITO	a - c o i - t o
ACOLCHETA'R	a - c o l - c h e - t a r
ACOLCHOADE'IRA	a - c o l - c h o - a - d e i - r a
ACOLCHOA'DO	a - c o l - c h o - a - d o
ACOLCHOA'R	a - c o l - c h o - a r
ACOLHE'R	a - c o - l h e r
ACOLHI'DA	a - c o - l h i - d a
ACOLI'A	a - c o - l i - a
ACOLÁ'	a - c o - l á
ACOMETE'R	a - c o - m e - t e r
ACOMETI'DA	a - c o - m e - t i - d a
ACOMODADI'ÇO	a - c o - m o - d a - d i - ç o
ACOMODA'R	a - c o - m o - d a r
ACOMODAÇÃ'O	a - c o - m o - d a - ç ã o
ACOMPADRA'R	a - c o m - p a - d r a r
ACOMPANHADO'R	a - c o m - p a - n h a - d o r
ACOMPANHA'R	a - c o m - p a - n h a r
ACOMPASSA'R	a - c o m - p a - s s a r
ACOMPRIDA'R	a - c o m - p r i - d a r
ACONCHEGA'R	a - c o n - c h e - g a r
ACONCHE'GO	a - c o n - c h e - g o
ACONDICIONA'R	a - c o n - d i - c i o - n a r
ACONDIMENTA'R	a - c o n - d i - m e n - t a r
ACONSELHA'DO	a - c o n - s e - l h a - d o
ACONSELHADO'R	a - c o n - s e - l h a - d o r
ACONSELHA'R	a - c o n - s e - l h a r
ACONSOANTA'R	a - c o n - s o - a n - t a r
ACONTECE'R	a - c o n - t e - c e r
ACONTECIME'NTO	a - c o n - t e - c i - m e n - t o
ACOPLAME'NTO	a - c o - p l a - m e n - t o
ACOPLA'R	a - c o - p l a r
ACORDA'NTE	a - c o r - d a n - t e
ACORDA'R	a - c o r - d a r
ACO'RDE	a - c o r - d e
ACORDEONI'STA	a - c o r - d e - o - n i s - t a
ACORDEÃ'O	a - c o r - d e - ã o
ACO'RDO	a - c o r - d o
ACORI'A	a - c o - r i - a
ACORONHA'R	a - c o - r o - n h a r
ACORRENTA'R	a - c o - r r e n - t a r
ACORRE'R	a - c o - r r e r
ACO'SSA	a - c o - s s a
ACOSSA'R	a - c o - s s a r
ACOSTA'DO	a - c o s - t a - d o
ACOSTA'GEM	a - c o s - t a - g e m
ACOSTA'R	a - c o s - t a r
ACOSTUMA'R	a - c o s - t u - m a r
ACOTOVELA'R	a - c o - t o - v e - l a r
ACOVARDA'R	a - c o - v a r - d a r
A'CRE	a - c r e
ACREDITADO'R	a - c r e - d i - t a - d o r
ACREDITA'R	a - c r e - d i - t a r
ACRESCENTA'R	a - c r e s - c e n - t a r
ACRESCE'NTE	a - c r e s - c e n - t e
ACRESCE'NTO	a - c r e s - c e n - t o
ACRESCE'R	a - c r e s - c e r
ACRESCI'DO	a - c r e s - c i - d o
ACRIANÇA'R	a - c r i - a n - ç a r
ACROBACI'A	a - c r o - b a - c i - a
ACROBA'TA	a - c r o - b a - t a
ACROBATI'SMO	a - c r o - b a - t i s - m o
ACROBÁ'TICO	a - c r o - b á - t i - c o
ACROMATIZA'R	a - c r o - m a - t i - z a r
ACROMÁ'TICO	a - c r o - m á - t i - c o
ACRÉ'SCIMO	a - c r é s - c i - m o
ACRÍ'LICO	a - c r í - l i - c o
ACRÍ'TICO	a - c r í - t i - c o
ACRÓ'POLE	a - c r ó - p o - l e
ACRÔ'NICO	a - c r ô - n i - c o
ACRÔ'NIMO	a - c r ô - n i - m o
ACTÍ'NIA	a c - t í - n i a
ACTÍ'NIO	a c t í - n i o
ACUDI'R	a - c u - d i r
ACUIDA'DE	a - c u i - d a - d e
ACULTURAÇÃ'O	a - c u l - t u - r a - ç ã o
ACU'ME	a - c u - m e
ACUMULADO'R	a - c u - m u - l a - d o r
ACUMULA'R	a - c u - m u - l a r
ACUMULATI'VO	a - c u - m u - l a - t i - v o
ACUMULAÇÃ'O	a - c u - m u - l a - ç ã o
ACUPUNTU'RA	a - c u - p u n - t u - r a
ACURA'R	a - c u - r a r
ACURRALA'R	a - c u - r r a - l a r
ACURVA'R	a - c u r - v a r
ACUSADO'R	a - c u - s a - d o r
ACUSA'R	a - c u - s a r
ACUSATI'VO	a - c u - s a - t i - v o
ACUSATÓ'RIO	a - c u - s a - t ó - r i o
ACUSMÁ'TICO	a - c u s - m á - t i - c o
ACUSTICAME'NTE	a - c u s - t i - c a - m e n - t e
ACUTANGULA'R	a - c u - t a n - g u - l a r
ACUTILADI'ÇO	a - c u - t i - l a - d i - ç o
ACUTILA'NTE	a - c u - t i - l a n - t e
ACUTILA'R	a - c u - t i - l a r
ACUTILÂ'NCIA	a - c u - t i - l â n - c i a
ACUTÂ'NGULO	a - c u - t â n - g u - l o
ACÁ'CIA	a - c á - c i a
ACÁ'DICO	a - c á - d i - c o
ACÉ'FALO	a - c é - f a - l o
ACÉ'RRIMO	a - c é - r r i - m o
ACÉ'TICO	a - c é - t i - c o
ACÍ'CLICO	a - c í - c l i - c o
ACÓ'LITO	a - c ó - l i - t o
ACÓRDÃ'O	a - c ó r - d ã o
ACÚ'STICA	a - c ú s - t i - c a
ACÚ'STICO	a - c ú s - t i - c o
ADA'GA	a - d a - g a
ADAGIA'L	a - d a - g i - a l
ADAGIA'R	a - d a - g i - a r
ADAGIÁ'RIO	a - d a - g i - á - r i o
ADAMASCA'R	a - d a - m a s - c a r
ADAMASTO'R	a - d a - m a s - t o r
ADAPTABILIDA'DE	a - d a p - t a - b i - l i - d a - d e
ADAPTADO'R	a - d a p - t a - d o r
ADAPTA'R	a - d a p - t a r
ADAPTATI'VO	a - d a p - t a - t i - v o
ADAPTAÇÃ'O	a - d a p - t a - ç ã o
ADAPTÔ'METRO	a - d a p - t ô - m e - t r o
ADE'GA	a - d e - g a
ADEGA'R	a - d e - g a r
ADEGUE'IRO	a - d e - g u e i - r o
ADEJA'R	a - d e - j a r
ADELGAÇA'R	a - d e l - g a - ç a r
ADEMA'IS	a - d e - m a i s
ADE'NDA	a - d e n - d a
ADENO'MA	a - d e - n o - m a
ADENOPATI'A	a - d e - n o - p a - t i - a
ADENOSI'NA	a - d e - n o - s i - n a
ADENSA'R	a - d e n - s a r
ADENTA'R	a - d e n - t a r
ADENTRA'R	a - d e n - t r a r
ADE'NTRO	a - d e n - t r o
ADE'PTO	a - d e p - t o
ADEQUA'R	a - d e - q u a r
ADERECI'STA	a - d e - r e - c i s - t a
ADERE'NTE	a - d e - r e n - t e
ADERE'ÇO	a - d e - r e - ç o
ADERI'R	a - d e - r i r
ADERÊ'NCIA	a - d e - r ê n - c i a
ADESI'VO	a - d e - s i - v o
ADESTRA'R	a - d e s - t r a r
ADESÃ'O	a - d e - s ã o
ADE'US	a - d e u s
ADEUSA'R	a - d e u - s a r
ADIABILIDA'DE	a - d i a - b i - l i - d a - d e
ADIAMANTA'R	a - d i a - m a n - t a r
ADIANTA'R	a - d i a n - t a r
ADIA'NTE	a - d i a n - t e
ADIA'R	a - d i a r
ADICIONA'L	a - d i - c i o - n a l
ADICIONA'R	a - d i - c i o - n a r
ADI'DO	a - d i - d o
ADIETA'R	a - d i - e - t a r
ADIPO'SE	a - d i - p o - s e
ADIPO'SO	a - d i - p o - s o
ADI'R	a - d i r
ADITA'R	a - d i - t a r
ADITI'VO	a - d i - t i - v o
ADITÍ'CIO	a - d i - t í - c i o
ADIVI'NHA	a - d i - v i - n h a
ADIVINHADO'R	a - d i - v i - n h a - d o r
ADIVINHA'R	a - d i - v i - n h a r
ADIVINHATÓ'RIO	a - d i - v i - n h a - t ó - r i o
ADIVI'NHO	a - d i - v i - n h o
ADIÇÃ'O	a - d i - ç ã o
ADJACE'NTE	a d - j a - c e n - t e
ADJACÊ'NCIA	a d - j a - c ê n - c i a
ADJETIVA'L	a d - j e - t i - v a l
ADJETIVA'R	a d - j e - t i - v a r
ADJETI'VO	a d - j e - t i - v o
ADJUDICADO'R	a d - j u - d i - c a - d o r
ADJUDICA'R	a d - j u - d i - c a r
ADJUDICATÁ'RIO	a d - j u - d i - c a - t á - r i o
ADJUDICATÓ'RIO	a d - j u - d i - c a - t ó - r i o
ADJU'NTO	a d - j u n - t o
ADJUNÇÃ'O	a d - j u n - ç ã o
ADJURA'R	a d - j u - r a r
ADJURAÇÃ'O	a d - j u - r a - ç ã o
ADJUVA'NTE	a d - j u - v a n - t e
ADJUVA'R	a d - j u - v a r
ADMINISTRA'R	a d - m i - n i s - t r a r
ADMINISTRATI'VO	a d - m i - n i s - t r a - t i - v o
ADMIRABILIDA'DE	a d - m i - r a - b i - l i - d a - d e
ADMIRA'R	a d - m i - r a r
ADMIRATI'VO	a d - m i - r a - t i - v o
ADMIRÁ'VEL	a d - m i - r á - v e l
ADMISSÃ'O	a d - m i - s s ã o
ADMISSÍ'VEL	a d - m i - s s í - v e l
ADMITI'R	a d - m i - t i r
ADMOESTADO'R	a d - m o - e s - t a - d o r
ADMOESTA'R	a d - m o - e s - t a r
ADMOESTATÓ'RIO	a d - m o - e s - t a - t ó - r i o
ADO'BE	a - d o - b e
ADOCICA'R	a - d o - c i - c a r
ADOECE'R	a - d o - e - c e r
ADOENTA'R	a - d o - e n - t a r
ADOESTA'R	a - d o - e s - t a r
ADOIDA'R	a - d o i - d a r
ADOLESCE'NTE	a - d o - l e s - c e n - t e
ADOLESCE'R	a - d o - l e s - c e r
ADOLESCÊ'NCIA	a - d o - l e s - c ê n - c i a
ADO'NDE	a - d o n - d e
ADONISA'R	a - d o - n i - s a r
ADORA'R	a - d o - r a r
ADORATI'VO	a - d o - r a - t i - v o
ADORMECE'R	a - d o r - m e - c e r
ADORMENTA'R	a - d o r - m e n - t a r
ADORNA'R	a - d o r - n a r
ADO'RNO	a - d o r - n o
ADOTA'NTE	a - d o - t a n - t e
ADOTA'R	a - d o - t a r
ADOTI'VO	a - d o - t i - v o
ADOÇA'NTE	a - d o - ç a n - t e
ADOÇA'R	a - d o - ç a r
ADOÇÃ'O	a - d o - ç ã o
ADQUIRE'NTE	a d - q u i - r e n - t e
ADQUIRI'R	a d - q u i - r i r
ADRE'DE	a - d r e - d e
ADRENALI'NA	a - d r e - n a - l i - n a
ADRIÁ'TICO	a - d r i - á - t i - c o
A'DRO	a - d r o
ADSCREVE'R	a d s - c r e - v e r
ADSCRI'TO	a d s - c r i - t o
ADSCRIÇÃ'O	a d s - c r i - ç ã o
ADSTRI'TO	a d s - t r i - t o
ADUANE'IRO	a - d u - a - n e i - r o
ADUBADE'LA	a - d u - b a - d e - l a
ADUBADO'R	a - d u - b a - d o r
ADUBADU'RA	a - d u - b a - d u - r a
ADUBA'R	a - d u - b a r
ADU'BO	a - d u - b o
ADUE'LA	a - d u - e - l a
ADU'FE	a - d u - f e
ADULADO'R	a - d u - l a - d o r
ADULA'R	a - d u - l a r
ADULATÓ'RIO	a - d u - l a - t ó - r i o
ADULTERADO'R	a - d u l - t e - r a - d o r
ADULTERA'R	a - d u l - t e - r a r
ADULTERI'NO	a - d u l - t e - r i - n o
ADULTERO'SO	a - d u l - t e - r o - s o
ADU'LTO	a - d u l - t o
ADULTÉ'RIO	a - d u l - t é - r i o
ADUTO'R	a - d u - t o r
ADUZI'R	a - d u - z i r
ADVECÇÃ'O	a d - v e c - ç ã o
ADVENTI'SMO	a d - v e n - t i s - m o
ADVENTI'STA	a d - v e n - t i s - t a
ADVE'NTO	a d - v e n - t o
ADVENTÍ'CIO	a d - v e n - t í - c i o
ADVERBIA'L	a d - v e r - b i - a l
ADVERBIALIZA'R	a d - v e r - b i a - l i - z a r
ADVERBIA'R	a d - v e r - b i - a r
ADVERSA'R	a d - v e r - s a r
ADVERSATI'VO	a d - v e r - s a - t i - v o
ADVE'RSO	a d - v e r - s o
ADVERSÁ'RIO	a d - v e r - s á - r i o
ADVERSÃ'O	a d - v e r - s ã o
ADVERTI'R	a d - v e r - t i r
ADVERTÊ'NCIA	a d - v e r - t ê n - c i a
ADVI'NDO	a d - v i n - d o
ADVI'R	a d - v i r
ADVOCACI'A	a d - v o - c a - c i - a
ADVOCATU'RA	a d - v o - c a - t u - r a
ADVOCATÓ'RIO	a d - v o - c a - t ó - r i o
ADVOGA'DO	a d - v o - g a - d o
ADVOGA'R	a d - v o - g a r
ADVÉ'RBIO	a d - v é r - b i o
ADÁ'GIO	a - d á - g i o
ADÃ'O	a - d ã o
ADÔ'NIS	a - d ô - n i s
ADÚ'LTERO	a - d ú l - t e - r o
AEROBALÍ'STICA	a - e - r o - b a - l í s - t i - c a
AERODINÂ'MICA	a - e - r o - d i - n â - m i - c a
AERODINÂ'MICO	a - e - r o - d i - n â - m i - c o
AERODU'TO	a - e - r o - d u - t o
AEROESPACIA'L	a - e - r o - e s - p a - c i - a l
AEROGRA'MA	a - e - r o - g r a - m a
AEROMODELI'SMO	a - e - r o - m o - d e - l i s - m o
AEROMOTO'R	a - e - r o - m o - t o r
AERONA'UTA	a - e - r o - n a u - t a
AERONA'VE	a - e - r o - n a - v e
AERONAVEGAÇÃ'O	a - e - r o - n a - v e - g a - ç ã o
AERONÁ'UTICA	a - e - r o - n á u - t i - c a
AERONÁ'UTICO	a - e - r o - n á u - t i - c o
AEROPLANI'SMO	a - e - r o - p l a - n i s - m o
AEROPLA'NO	a - e - r o - p l a - n o
AEROPO'RTO	a - e - r o - p o r - t o
AEROPORTUÁ'RIO	a - e - r o - p o r - t u - á - r i o
AEROPOSTA'L	a - e - r o - p o s - t a l
AEROSCOPI'A	a - e - r o s - c o - p i - a
AEROSCÓ'PIO	a - e - r o s - c ó - p i o
AEROSSO'L	a - e - r o - s s o l
AEROTRANSPORTA'DO	a - e - r o - t r a n s - p o r - t a - d o
AERÓ'BICO	a - e - r ó - b i - c o
AERÓ'DROMO	a - e - r ó - d r o - m o
AFABILIDA'DE	a - f a - b i - l i - d a - d e
AFABILÍ'SSIMO	a - f a - b i - l í - s s i - m o
AFADIGA'R	a - f a - d i - g a r
AFAGADO'R	a - f a - g a - d o r
AFAGA'R	a - f a - g a r
AFA'GO	a - f a - g o
AFAGO'SO	a - f a - g o - s o
