A	a
ABERTA	a b E X t a
ABERTIVO	a b e X tS i v u
ABERTO	a b E X t u
ABERTURA	a b e X t u r a
ABESOIRAR	a b e z o j r a X
ABESOURAR	a b e z ow r a X
ABESPINHAR	a b e s p i~ J a X
ABETO	a b e t u
ABETUMAR	a b e t u~ m a X
ABISMAL	a b i z m a w
ABISMAR	a b i z m a X
ABISMO	a b i z m u
ABISSAL	a b i s a w
ABISSÍNIO	a b i s i n i u
ABJETO	a b Z E t u
ABJEÇÃO	a b Z e s a~ w~
ABJUDICAR	a b Z u dZ i k a X
ABJURAR	a b Z u r a X
ABJURATÓRIO	a b Z u r a t O r i u
ABLATIVO	a b l a tS i v u
ABLAÇÃO	a b l a s a~ w~
ABNEGAR	a b n e g a X
ABNEGATIVO	a b n e g a tS i v u
ABOBADADO	a b o b a d a d u
ABOBAR	a b o b a X
ABOBORAL	a b o b o r a w
ABOBORAR	a b o b o r a X
ABOBOREIRA	a b o b o r ej r a
ABOCAMENTO	a b o k a m e~ t u
ABOCANHAR	a b o k a J a X
ABOLICIONISMO	a b o l i s i o n i z m u
ABOLICIONISTA	a b o l i s i o n i s t a
ABOLIR	a b o l i X
ABOLITIVO	a b o l i tS i v u
ABOMINAR	a b o m i~ n a X
ABONAR	a b o n a X
ABONATÓRIO	a b o n a t O r i u
ABONO	a b o~ n u
ABORDAGEM	a b o R d a Z e~j~
ABORDAR	a b o R d a X
ABORDO	a b O R d u
ABORRECER	a b o R e s e X
ABORTADEIRA	a b o X t a d ej r a
ABORTAR	a b o X t a X
ABORTIVO	a b o X tS i v u
ABORTO	a b O X t u
ABORÍGENE	a b o r i Z e n i
ABOTOADEIRA	a b o t o a d ej r a
ABOTOADURA	a b o t o a d u r a
ABOTOAR	a b o t o a X
ABRACADABRA	a b r a k a d a b r a
ABRANDAR	a b r a~ d a X
ABRANGER	a b r a~ Z e X
ABRANGÊNCIA	a b r a~ Z e~ s i a
ABRASADOR	a b r a z a d o X
ABRASANTE	a b r a z a~ tS i
ABRASAR	a b r a z a X
ABRASILEIRAR	a b r a z i l e j r a X
ABRASIVO	a b r a z i v u
ABRASÃO	a b r a z a~ w~
ABRAÇADEIRA	a b r a s a d ej r a
ABRAÇAR	a b r a s a X
ABRAÇO	a b r a s u
ABRE	a b r i
ABREACÇÃO	a b r e a k s a~ w~
ABRENUNCIAR	a b r e n u~ s i a X
ABREVIAR	a b r e v i a X
ABREVIATIVO	a b r e v i a tS i v u
ABREVIATURA	a b r e v i a t u r a
ABRIGADA	a b r i g a d a
ABRIGADOIRO	a b r i g a d o j r u
ABRIGADOURO	a b r i g a d ow r u
ABRIGAR	a b r i g a X
ABRIGO	a b r i g u
ABRILHANTAR	a b r i L a~ t a X
ABRIR	a b r i X
ABROLHAR	a b r o L a X
ABROLHOSO	a b r o L o z u
ABRUNHAL	a b r u~ J a w
ABRUNHEIRO	a b r u~ J ej r u
ABRUNHO	a b r u~ J u
ABRUPTO	a b r u p t u
ABSENTISMO	a b s e~ tS i z m u
ABSENTISTA	a b s e~ tS i s t a
ABSIDE	a b s i dZ i
ABSINTO	a b s i~ t u
ABSOLUTO	a b s o l u t u
ABSOLUTÓRIO	a b s o l u t O r i u
ABSOLVER	a b s o w v e X
ABSOLVIÇÃO	a b s o w v i s a~ w~
ABSORTO	a b s o X t u
ABSORVEDOR	a b s o R v e d o X
ABSORVEDOURO	a b s o R v e d ow r u
ABSORVENTE	a b s o R v e~ tS i
ABSORVER	a b s o R v e X
ABSORVIBILIDADE	a b s o R v i b i l i d a dZ i
ABSORVÊNCIA	a b s o R v e~ s i a
ABSORÇÃO	a b s o X s a~ w~
ABSTENCIONISMO	a b s t e~ s i o n i z m u
ABSTENCIONISTA	a b s t e~ s i o n i s t a
ABSTENÇÃO	a b s t e~ s a~ w~
ABSTER	a b s t e X
ABSTINENTE	a b s tS i~ n e~ tS i
ABSTINÊNCIA	a b s tS i~ n e~ s i a
ABSTRACIONISMO	a b s t r a s i o n i z m u
ABSTRAIR	a b s t r a j X
ABSTRATIVO	a b s t r a tS i v u
ABSTRATO	a b s t r a t u
ABSTRAÇÃO	a b s t r a s a~ w~
ABSTUSA	a b s t u z a
ABSTÉMIO	a b s t E m i u
ABSURDEZ	a b s u R d e js
ABSURDEZA	a b s u R d e z a
ABSURDO	a b s u R d u
ABSÍNTIO	a b s i~ tS i u
ABULIA	a b u l i a
ABULÍCO	a b u l i k u
ABUNDANTE	a b u~ d a~ tS i
ABUNDAR	a b u~ d a X
ABUNDÂNCIA	a b u~ d a~ s i a
ABURGUESAR	a b u R g e z a X
ABUSAR	a b u z a X
ABUSIVO	a b u z i v u
ABUSO	a b u z u
ABUTRE	a b u t r i
ABÓBADA	a b O b a d a
ABÓBORA	a b O b o r a
ACABADOTE	a k a b a d O tS i
ACABAR	a k a b a X
ACABRUNHADO	a k a b r u~ J a d u
ACADEMIA	a k a d e m i a
ACADEMISMO	a k a d e m i z m u
ACADÉMICO	a k a d E m i k u
ACALCAR	a k a w k a X
ACALENTAR	a k a l e~ t a X
ACALENTO	a k a l e~ t u
ACALMAR	a k a w m a X
ACALMIA	a k a w m i a
ACALORAR	a k a l o r a X
ACALÇAR	a k a w s a X
ACAMA	a k a~ m a
ACAMAR	a k a m a X
ACAMPAR	a k a~ p a X
ACANHAR	a k a J a X
ACANHO	a k a~ J u
ACANTONAR	a k a~ t o n a X
ACARICIADOR	a k a r i s i a d o X
ACARICIANTE	a k a r i s i a~ tS i
ACARICIAR	a k a r i s i a X
ACARICIATIVO	a k a r i s i a tS i v u
ACARINHAR	a k a r i~ J a X
ACARRETAR	a k a R e t a X
ACARTAR	a k a X t a X
ACASALAR	a k a z a l a X
ACASO	a k a z u
ACASTANHADO	a k a s t a J a d u
ACASTELAR	a k a s t e l a X
ACATADOR	a k a t a d o X
ACATAR	a k a t a X
ACATO	a k a t u
ACATÓLICO	a k a t O l i k u
ACAUTELAR	a k a u t e l a X
ACAVALADO	a k a v a l a d u
ACEDENTE	a s e d e~ tS i
ACEDER	a s e d e X
ACEDIOSO	a s e dZ i o z u
ACEDÊNCIA	a s e d e~ s i a
ACEFALIA	a s e f a l i a
ACEFÁLICO	a s e f a l i k u
ACEITABILIDADE	a s e j t a b i l i d a dZ i
ACEITADOR	a s e j t a d o X
ACEITANTE	a s e j t a~ tS i
ACEITAR	a s e j t a X
ACEITE	a s ej tS i
ACELERADOR	a s e l e r a d o X
ACELERANTE	a s e l e r a~ tS i
ACELERAR	a s e l e r a X
ACENAR	a s e n a X
ACENDALHA	a s e~ d a L a
ACENDER	a s e~ d e X
ACENO	a s e~ n u
ACENTO	a s e~ t u
ACENTUAL	a s e~ t u a w
ACENTUAR	a s e~ t u a X
ACEPIPE	a s e p i p i
ACERBAR	a s e R b a X
ACERCA	a s e X k a
ACERCAR	a s e X k a X
ACERRIMAMENTE	a s e R i~ m a m e~ tS i
ACERTAR	a s e X t a X
ACERTO	a s E X t u
ACERVO	a s e R v u
ACESO	a s e z u
ACESSO	a s E s u
ACESSÃO	a s e s a~ w~
ACESSÍVEL	a s e s i v e w
ACESSÓRIO	a s e s O r i u
ACETAL	a s e t a w
ACETATO	a s e t a t u
ACETILENO	a s e tS i l e~ n u
ACETINAR	a s e tS i~ n a X
ACETONA	a s e t o~ n a
ACEÇÃO	a s e s a~ w~
ACHA	a S a
ACHADA	a S a d a
ACHADO	a S a d u
ACHAQUE	a S a k i
ACHAR	a S a X
ACHATADELA	a S a t a d E l a
ACHATADURA	a S a t a d u r a
ACHATAR	a S a t a X
ACHEGA	a S e g a
ACHEGAR	a S e g a X
ACHEGO	a S e g u
ACHINCALHAR	a S i~ k a L a X
ACHINELAR	a S i~ n e l a X
ACHINESAR	a S i~ n e z a X
ACHOCOLATADO	a S o k o l a t a d u
ACICATAR	a s i k a t a X
ACICATE	a s i k a tS i
ACICULAR	a s i k u l a X
ACIDAR	a s i d a X
ACIDENTAL	a s i d e~ t a w
ACIDENTAR	a s i d e~ t a X
ACIDENTE	a s i d e~ tS i
ACIDEZ	a s i d e js
ACIDIFICANTE	a s i dZ i f i k a~ tS i
ACIDIFICAR	a s i dZ i f i k a X
ACIDÓFILO	a s i d O f i l u
ACILAÇÃO	a s i l a s a~ w~
ACIMA	a s i~ m a
ACINZAR	a s i~ z a X
ACINZENTAR	a s i~ z e~ t a X
ACINÉTICO	a s i~ n E tS i k u
ACIONADO	a s i o n a d u
ACIONADOR	a s i o n a d o X
ACIONAL	a s i o n a w
ACIONAR	a s i o n a X
ACIONISTA	a s i o n i s t a
ACIRRANTE	a s i R a~ tS i
ACIRRAR	a s i R a X
ACITRINAR	a s i t r i~ n a X
ACLAMAR	a k l a m a X
ACLAMATIVO	a k l a m a tS i v u
ACLARAR	a k l a r a X
ACLIMAR	a k l i~ m a X
ACLIMATAR	a k l i~ m a t a X
ACLIMATIZAR	a k l i~ m a tS i z a X
ACLIVE	a k l i v i
ACNE	a k n i
ACOBARDAR	a k o b a R d a X
ACOBERTAR	a k o b e X t a X
ACOCADO	a k o k a d u
ACOCORAR	a k o k o r a X
ACOIMAR	a k o i~ m a X
ACOITAR	a k o j t a X
ACOITO	a k o j t u
ACOLCHETAR	a k o w S e t a X
ACOLCHOADEIRA	a k o w S o a d ej r a
ACOLCHOADO	a k o w S o a d u
ACOLCHOAR	a k o w S o a X
ACOLHER	a k o L e X
ACOLHIDA	a k o L i d a
ACOLIA	a k o l i a
ACOLÁ	a k o l a
ACOMETER	a k o m e t e X
ACOMETIDA	a k o m e tS i d a
ACOMODADIÇO	a k o m o d a dZ i s u
ACOMODAR	a k o m o d a X
ACOMODAÇÃO	a k o m o d a s a~ w~
ACOMPADRAR	a k o~ p a d r a X
ACOMPANHADOR	a k o~ p a J a d o X
ACOMPANHAR	a k o~ p a J a X
ACOMPASSAR	a k o~ p a s a X
ACOMPRIDAR	a k o~ p r i d a X
ACONCHEGAR	a k o~ S e g a X
ACONCHEGO	a k o~ S e g u
ACONDICIONAR	a k o~ dZ i s i o n a X
ACONDIMENTAR	a k o~ dZ i~ m e~ t a X
ACONSELHADO	a k o~ s e L a d u
ACONSELHADOR	a k o~ s e L a d o X
ACONSELHAR	a k o~ s e L a X
ACONSOANTAR	a k o~ s o a~ t a X
ACONTECER	a k o~ t e s e X
ACONTECIMENTO	a k o~ t e s i~ m e~ t u
ACOPLAMENTO	a k o p l a m e~ t u
ACOPLAR	a k o p l a X
ACORDANTE	a k o R d a~ tS i
ACORDAR	a k o R d a X
ACORDE	a k O R dZ i
ACORDEONISTA	a k o R d e o n i s t a
ACORDEÃO	a k o R d e a~ w~
ACORDO	a k o R d u
ACORIA	a k o r i a
ACORONHAR	a k o r o J a X
ACORRENTAR	a k o R e~ t a X
ACORRER	a k o R e X
ACOSSA	a k O s a
ACOSSAR	a k o s a X
ACOSTADO	a k o s t a d u
ACOSTAGEM	a k o s t a Z e~j~
ACOSTAR	a k o s t a X
ACOSTUMAR	a k o s t u~ m a X
ACOTOVELAR	a k o t o v e l a X
ACOVARDAR	a k o v a R d a X
ACRE	a k r i
ACREDITADOR	a k r e dZ i t a d o X
ACREDITAR	a k r e dZ i t a X
ACRESCENTAR	a k r e s e~ t a X
ACRESCENTE	a k r e s e~ tS i
ACRESCENTO	a k r e s e~ t u
ACRESCER	a k r e s e X
ACRESCIDO	a k r e s i d u
ACRIANÇAR	a k r i a~ s a X
ACROBACIA	a k r o b a s i a
ACROBATA	a k r o b a t a
ACROBATISMO	a k r o b a tS i z m u
ACROBÁTICO	a k r o b a tS i k u
ACROMATIZAR	a k r o m a tS i z a X
ACROMÁTICO	a k r o m a tS i k u
ACRÉSCIMO	a k r E s i~ m u
ACRÍLICO	a k r i l i k u
ACRÍTICO	a k r i tS i k u
ACRÓPOLE	a k r O p o l i
ACRÔNICO	a k r o n i k u
ACRÔNIMO	a k r o n i~ m u
ACTÍNIA	a k tS i n i a
ACTÍNIO	a k tS i n i u
ACUDIR	a k u dZ i X
ACUIDADE	a k u i d a dZ i
ACULTURAÇÃO	a k u w t u r a s a~ w~
ACUME	a k u~ m i
ACUMULADOR	a k u~ m u l a d o X
ACUMULAR	a k u~ m u l a X
ACUMULATIVO	a k u~ m u l a tS i v u
ACUMULAÇÃO	a k u~ m u l a s a~ w~
ACUPUNTURA	a k u p u~ t u r a
ACURAR	a k u r a X
ACURRALAR	a k u R a l a X
ACURVAR	a k u R v a X
ACUSADOR	a k u z a d o X
ACUSAR	a k u z a X
ACUSATIVO	a k u z a tS i v u
ACUSATÓRIO	a k u z a t O r i u
ACUSMÁTICO	a k u z m a tS i k u
ACUSTICAMENTE	a k u s tS i k a m e~ tS i
ACUTANGULAR	a k u t a~ g u l a X
ACUTILADIÇO	a k u tS i l a dZ i s u
ACUTILANTE	a k u tS i l a~ tS i
ACUTILAR	a k u tS i l a X
ACUTILÂNCIA	a k u tS i l a~ s i a
ACUTÂNGULO	a k u t a~ g u l u
ACÁCIA	a k a s i a
ACÁDICO	a k a dZ i k u
ACÉFALO	a s E f a l u
ACÉRRIMO	a s E R i~ m u
ACÉTICO	a s E tS i k u
ACÍCLICO	a s i k l i k u
ACÓLITO	a k O l i t u
ACÓRDÃO	a k O R d a~ w~
ACÚSTICA	a k u s tS i k a
ACÚSTICO	a k u s tS i k u
ADAGA	a d a g a
ADAGIAL	a d a Z i a w
ADAGIAR	a d a Z i a X
ADAGIÁRIO	a d a Z i a r i u
ADAMASCAR	a d a m a s k a X
ADAMASTOR	a d a m a s t o X
ADAPTABILIDADE	a d a p t a b i l i d a dZ i
ADAPTADOR	a d a p t a d o X
ADAPTAR	a d a p t a X
ADAPTATIVO	a d a p t a tS i v u
ADAPTAÇÃO	a d a p t a s a~ w~
ADAPTÔMETRO	a d a p t o m e t r u
ADEGA	a d E g a
ADEGAR	a d e g a X
ADEGUEIRO	a d e g ej r u
ADEJAR	a d e Z a X
ADELGAÇAR	a d e w g a s a X
ADEMAIS	a d e m a j s
ADENDA	a d e~ d a
ADENOMA	a d e n o~ m a
ADENOPATIA	a d e n o p a tS i a
ADENOSINA	a d e n o z i~ n a
ADENSAR	a d e~ s a X
ADENTAR	a d e~ t a X
ADENTRAR	a d e~ t r a X
ADENTRO	a d e~ t r u
ADEPTO	a d E p t u
ADEQUAR	a d e k u a X
ADERECISTA	a d e r e s i s t a
ADERENTE	a d e r e~ tS i
ADEREÇO	a d e r e s u
ADERIR	a d e r i X
ADERÊNCIA	a d e r e~ s i a
ADESIVO	a d e z i v u
ADESTRAR	a d e s t r a X
ADESÃO	a d e z a~ w~
ADEUS	a d e u s
ADEUSAR	a d e u z a X
ADIABILIDADE	a dZ i a b i l i d a dZ i
ADIAMANTAR	a dZ i a m a~ t a X
ADIANTAR	a dZ i a~ t a X
ADIANTE	a dZ i a~ tS i
ADIAR	a dZ i a X
ADICIONAL	a dZ i s i o n a w
ADICIONAR	a dZ i s i o n a X
ADIDO	a dZ i d u
ADIETAR	a dZ i e t a X
ADIPOSE	a dZ i p O z i
ADIPOSO	a dZ i p o z u
ADIR	a dZ i X
ADITAR	a dZ i t a X
ADITIVO	a dZ i tS i v u
ADITÍCIO	a dZ i tS i s i u
ADIVINHA	a dZ i v i~ J a
ADIVINHADOR	a dZ i v i~ J a d o X
ADIVINHAR	a dZ i v i~ J a X
ADIVINHATÓRIO	a dZ i v i~ J a t O r i u
ADIVINHO	a dZ i v i~ J u
ADIÇÃO	a dZ i s a~ w~
ADJACENTE	a dZ Z a s e~ tS i
ADJACÊNCIA	a dZ Z a s e~ s i a
ADJETIVAL	a dZ Z e tS i v a w
ADJETIVAR	a dZ Z e tS i v a X
ADJETIVO	a dZ Z e tS i v u
ADJUDICADOR	a dZ Z u dZ i k a d o X
ADJUDICAR	a dZ Z u dZ i k a X
ADJUDICATÁRIO	a dZ Z u dZ i k a t a r i u
ADJUDICATÓRIO	a dZ Z u dZ i k a t O r i u
ADJUNTO	a dZ Z u~ t u
ADJUNÇÃO	a dZ Z u~ s a~ w~
ADJURAR	a dZ Z u r a X
ADJURAÇÃO	a dZ Z u r a s a~ w~
ADJUVANTE	a dZ Z u v a~ tS i
ADJUVAR	a dZ Z u v a X
ADMINISTRAR	a dZ m i~ n i s t r a X
ADMINISTRATIVO	a dZ m i~ n i s t r a tS i v u
ADMIRABILIDADE	a dZ m i r a b i l i d a dZ i
ADMIRAR	a dZ m i r a X
ADMIRATIVO	a dZ m i r a tS i v u
ADMIRÁVEL	a dZ m i r a v e w
ADMISSÃO	a dZ m i s a~ w~
ADMISSÍVEL	a dZ m i s i v e w
ADMITIR	a dZ m i tS i X
ADMOESTADOR	a dZ m o e s t a d o X
ADMOESTAR	a dZ m o e s t a X
ADMOESTATÓRIO	a dZ m o e s t a t O r i u
ADOBE	a d o b i
ADOCICAR	a d o s i k a X
ADOECER	a d o e s e X
ADOENTAR	a d o e~ t a X
ADOESTAR	a d o e s t a X
ADOIDAR	a d o j d a X
ADOLESCENTE	a d o l e s e~ tS i
ADOLESCER	a d o l e s e X
ADOLESCÊNCIA	a d o l e s e~ s i a
ADONDE	a d o~ dZ i
ADONISAR	a d o n i z a X
ADORAR	a d o r a X
ADORATIVO	a d o r a tS i v u
ADORMECER	a d o R m e s e X
ADORMENTAR	a d o R m e~ t a X
ADORNAR	a d o R n a X
ADORNO	a d o R n u
ADOTANTE	a d o t a~ tS i
ADOTAR	a d o t a X
ADOTIVO	a d o tS i v u
ADOÇANTE	a d o s a~ tS i
ADOÇAR	a d o s a X
ADOÇÃO	a d o s a~ w~
ADQUIRENTE	a dZ k i r e~ tS i
ADQUIRIR	a dZ k i r i X
ADREDE	a d r e dZ i
ADRENALINA	a d r e n a l i~ n a
ADRIÁTICO	a d r i a tS i k u
ADRO	a d r u
ADSCREVER	a dZ s k r e v e X
ADSCRITO	a dZ s k r i t u
ADSCRIÇÃO	a dZ s k r i s a~ w~
ADSTRITO	a dZ s t r i t u
ADUANEIRO	a d u a n ej r u
ADUBADELA	a d u b a d E l a
ADUBADOR	a d u b a d o X
ADUBADURA	a d u b a d u r a
ADUBAR	a d u b a X
ADUBO	a d u b u
ADUELA	a d u E l a
ADUFE	a d u f i
ADULADOR	a d u l a d o X
ADULAR	a d u l a X
ADULATÓRIO	a d u l a t O r i u
ADULTERADOR	a d u w t e r a d o X
ADULTERAR	a d u w t e r a X
ADULTERINO	a d u w t e r i~ n u
ADULTEROSO	a d u w t e r o z u
ADULTO	a d u w t u
ADULTÉRIO	a d u w t E r i u
ADUTOR	a d u t o X
ADUZIR	a d u z i X
ADVECÇÃO	a dZ v e k s a~ w~
ADVENTISMO	a dZ v e~ tS i z m u
ADVENTISTA	a dZ v e~ tS i s t a
ADVENTO	a dZ v e~ t u
ADVENTÍCIO	a dZ v e~ tS i s i u
ADVERBIAL	a dZ v e R b i a w
ADVERBIALIZAR	a dZ v e R b i a l i z a X
ADVERBIAR	a dZ v e R b i a X
ADVERSAR	a dZ v e X s a X
ADVERSATIVO	a dZ v e X s a tS i v u
ADVERSO	a dZ v E X s u
ADVERSÁRIO	a dZ v e X s a r i u
ADVERSÃO	a dZ v e X s a~ w~
ADVERTIR	a dZ v e X tS i X
ADVERTÊNCIA	a dZ v e X t e~ s i a
ADVINDO	a dZ v i~ d u
ADVIR	a dZ v i X
ADVOCACIA	a dZ v o k a s i a
ADVOCATURA	a dZ v o k a t u r a
ADVOCATÓRIO	a dZ v o k a t O r i u
ADVOGADO	a dZ v o g a d u
ADVOGAR	a dZ v o g a X
ADVÉRBIO	a dZ v E R b i u
ADÁGIO	a d a Z i u
ADÃO	a d a~ w~
ADÔNIS	a d o n i s
ADÚLTERO	a d u w t e r u
AEROBALÍSTICA	a e r o b a l i s tS i k a
AERODINÂMICA	a e r o dZ i~ n a~ m i k a
AERODINÂMICO	a e r o dZ i~ n a~ m i k u
AERODUTO	a e r o d u t u
AEROESPACIAL	a e r o e s p a s i a w
AEROGRAMA	a e r o g r a~ m a
AEROMODELISMO	a e r o m o d e l i z m u
AEROMOTOR	a e r o m o t o X
AERONAUTA	a e r o n a u t a
AERONAVE	a e r o n a v i
AERONAVEGAÇÃO	a e r o n a v e g a s a~ w~
AERONÁUTICA	a e r o n a u tS i k a
AERONÁUTICO	a e r o n a u tS i k u
AEROPLANISMO	a e r o p l a n i z m u
AEROPLANO	a e r o p l a~ n u
AEROPORTO	a e r o p o X t u
AEROPORTUÁRIO	a e r o p o X t u a r i u
AEROPOSTAL	a e r o p o s t a w
AEROSCOPIA	a e r o s k o p i a
AEROSCÓPIO	a e r o s k O p i u
AEROSSOL	a e r o s O w
AEROTRANSPORTADO	a e r o t r a~ s p o X t a d u
AERÓBICO	a e r O b i k u
AERÓDROMO	a e r O d r o m u
AFABILIDADE	a f a b i l i d a dZ i
AFABILÍSSIMO	a f a b i l i s i~ m u
AFADIGAR	a f a dZ i g a X
AFAGADOR	a f a g a d o X
AFAGAR	a f a g a X
AFAGO	a f a g u
AFAGOSO	a f a g o z u
AFAMAR	a f a m a X
AFANAR	a f a n a X
AFANOSO	a f a n o z u
AFASIA	a f a z i a
AFASTADOR	a f a s t a d o X
AFASTAR	a f a s t a X
AFAZER	a f a z e X
AFAZERES	a f a z e r i s
AFEGÃO	a f e g a~ w~
AFEITO	a f ej t u
AFEIÇOAR	a f e j s o a X
AFEIÇÃO	a f e j s a~ w~
AFEMINAR	a f e m i~ n a X
AFERENTE	a f e r e~ tS i
AFERIR	a f e r i X
AFERRAR	a f e R a X
AFERROAR	a f e R o a X
AFERROLHAR	a f e R o L a X
AFETANTE	a f e t a~ tS i
AFETAR	a f e t a X
AFETIVO	a f e tS i v u
AFETO	a f E t u
AFETUOSO	a f e t u o z u
AFEÇÃO	a f e s a~ w~
AFIADEIRA	a f i a d ej r a
AFIADOR	a f i a d o X
AFIAMBRAR	a f i a~ b r a X
AFIANÇAR	a f i a~ s a X
AFIAR	a f i a X
AFICIONADO	a f i s i o n a d u
AFIDALGAR	a f i d a w g a X
AFIGURAR	a f i g u r a X
AFIGURATIVO	a f i g u r a tS i v u
AFILAR	a f i l a X
AFILHADO	a f i L a d u
AFILHAR	a f i L a X
AFILIAR	a f i l i a X
AFILIAÇÃO	a f i l i a s a~ w~
AFIM	a f i~
AFINADOR	a f i~ n a d o X
AFINAGEM	a f i~ n a Z e~j~
AFINAL	a f i~ n a w
AFINAR	a f i~ n a X
AFINCAR	a f i~ k a X
AFINCO	a f i~ k u
AFINFAR	a f i~ f a X
AFINIDADE	a f i~ n i d a dZ i
AFIRMAR	a f i R m a X
AFIRMATIVA	a f i R m a tS i v a
AFIRMATIVO	a f i R m a tS i v u
AFIRMAÇÃO	a f i R m a s a~ w~
AFIVELAR	a f i v e l a X
AFIXAR	a f i k s a X
AFIXO	a f i k s u
AFLAUTAR	a f l a u t a X
AFLEUMAR	a f l e u~ m a X
AFLIGIR	a f l i Z i X
AFLITIVO	a f l i tS i v u
AFLITO	a f l i t u
AFLIÇÃO	a f l i s a~ w~
AFLORAR	a f l o r a X
AFLUENTE	a f l u e~ tS i
AFLUIR	a f l u i X
AFLUXO	a f l u k s u
AFLUÊNCIA	a f l u e~ s i a
AFOCINHAR	a f o s i~ J a X
AFOFAR	a f o f a X
AFOGADELA	a f o g a d E l a
AFOGADIÇO	a f o g a dZ i s u
AFOGAR	a f o g a X
AFOGO	a f O g u
AFOGUEAR	a f o g e a X
AFOITAR	a f o j t a X
AFOITEZA	a f o j t e z a
AFOITO	a f o j t u
AFOLAR	a f o l a X
AFOLHAR	a f o L a X
AFONIA	a f o n i a
AFONO	a f o~ n u
AFONSINO	a f o~ s i~ n u
AFORA	a f O r a
AFORAR	a f o r a X
AFORISMO	a f o r i z m u
AFORMOSEAR	a f o R m o z e a X
AFORQUILHAR	a f o X k i L a X
AFORRAR	a f o R a X
AFORRO	a f o R u
AFORTALEZAR	a f o X t a l e z a X
AFORTUNAR	a f o X t u~ n a X
AFORÍSTICO	a f o r i s tS i k u
AFRACAR	a f r a k a X
AFRANCESAR	a f r a~ s e z a X
AFRANZINAR	a f r a~ z i~ n a X
AFRECHAR	a f r e S a X
AFREGUESAR	a f r e g e z a X
AFRETAR	a f r e t a X
AFRICANAR	a f r i k a n a X
AFRICANAS	a f r i k a~ n a js
AFRICANIZAR	a f r i k a n i z a X
AFRICANO	a f r i k a~ n u
AFRICÂNDER	a f r i k a~ d e X
AFRO	a f r u
AFRODISIA	a f r o dZ i z i a
AFRODISÍACO	a f r o dZ i z i a k u
AFRODITA	a f r o dZ i t a
AFROIXAMENTO	a f r o j S a m e~ t u
AFRONHAR	a f r o J a X
AFRONTA	a f r o~ t a
AFRONTADIÇO	a f r o~ t a dZ i s u
AFRONTADOR	a f r o~ t a d o X
AFRONTAR	a f r o~ t a X
AFRONTOSO	a f r o~ t o z u
AFROUXAR	a f r ow S a X
AFTA	a f t a
AFUGENTAR	a f u Z e~ t a X
AFUMADURA	a f u~ m a d u r a
AFUMAR	a f u~ m a X
AFUNDAR	a f u~ d a X
AFUNILAR	a f u~ n i l a X
AFUSELADO	a f u z e l a d u
AFÁSICO	a f a s i k u
AFÁVEL	a f a v e w
AFÃ	a f a~
AFÉLIO	a f E l i u
AFÔNICO	a f o n i k u
AGACHAR	a g a S a X
AGAIATAR	a g a j a t a X
AGARGALADO	a g a R g a l a d u
AGAROTAR	a g a r o t a X
AGARRA	a g a R a
AGARRAR	a g a R a X
AGASALHAR	a g a z a L a X
