A	a
ACALCAR	a c a l c a ' r
ACALENTAR	a c a l e n t a ' r
ACALENTO	a c a l e ' n t o
ACALMAR	a c a l m a ' r
ACALMIA	a c a l m i ' a
ACALORAR	a c a l o r a ' r
ACALÇAR	a c a l ç a ' r
ACAMA	a c a ' m a
ACAMAR	a c a m a ' r
ACAMPAR	a c a m p a ' r
ACANHAR	a c a n h a ' r
ACANHO	a c a ' n h o
ACANTONAR	a c a n t o n a ' r
ACARICIADOR	a c a r i c i a d o ' r
ACARICIANTE	a c a r i c i a ' n t e
ACARICIAR	a c a r i c i a ' r
ACARICIATIVO	a c a r i c i a t i ' v o
ACARINHAR	a c a r i n h a ' r
ACARRETAR	a c a r r e t a ' r
ACARTAR	a c a r t a ' r
ACASALAR	a c a s a l a ' r
ACASO	a c a ' s o
ACASTANHADO	a c a s t a n h a ' d o
ACASTELAR	a c a s t e l a ' r
ACATADOR	a c a t a d o ' r
ACATAR	a c a t a ' r
ACATO	a c a ' t o
ACATÓLICO	a c a t ó ' l i c o
ACAUTELAR	a c a u t e l a ' r
ACAVALADO	a c a v a l a ' d o
ACEDENTE	a c e d e ' n t e
ACEDER	a c e d e ' r
ACEDIOSO	a c e d i o ' s o
ACEDÊNCIA	a c e d ê ' n c i a
ACEFALIA	a c e f a l i ' a
ACEFÁLICO	a c e f á ' l i c o
ACEITABILIDADE	a c e i t a b i l i d a ' d e
ACEITADOR	a c e i t a d o ' r
ACEITANTE	a c e i t a ' n t e
ACEITAR	a c e i t a ' r
ACEITE	a c e ' i t e
ACELERADOR	a c e l e r a d o ' r
ACELERANTE	a c e l e r a ' n t e
ACELERAR	a c e l e r a ' r
ACENAR	a c e n a ' r
ACENDALHA	a c e n d a ' l h a
ACENDER	a c e n d e ' r
ACENO	a c e ' n o
ACENTO	a c e ' n t o
ACENTUAL	a c e n t u a ' l
ACENTUAR	a c e n t u a ' r
ACEPIPE	a c e p i ' p e
ACERBAR	a c e r b a ' r
ACERCA	a c e ' r c a
ACERCAR	a c e r c a ' r
ACERRIMAMENTE	a c e r r i m a m e ' n t e
ACERTAR	a c e r t a ' r
ACERTO	a c e ' r t o
ACERVO	a c e ' r v o
ACESO	a c e ' s o
ACESSO	a c e ' s s o
ACESSÃO	a c e s s ã ' o
ACESSÍVEL	a c e s s í ' v e l
ACESSÓRIO	a c e s s ó ' r i o
ACETAL	a c e t a ' l
ACETATO	a c e t a ' t o
ACETILENO	a c e t i l e ' n o
ACETINAR	a c e t i n a ' r
ACETONA	a c e t o ' n a
ACEÇÃO	a c e ç ã ' o
ACHA	a ' c h a
ACHADA	a c h a ' d a
ACHADO	a c h a ' d o
ACHAQUE	a c h a ' q u e
ACHAR	a c h a ' r
ACHATADELA	a c h a t a d e ' l a
ACHATADURA	a c h a t a d u ' r a
ACHATAR	a c h a t a ' r
ACHEGA	a c h e ' g a
ACHEGAR	a c h e g a ' r
ACHEGO	a c h e ' g o
ACHINCALHAR	a c h i n c a l h a ' r
ACHINELAR	a c h i n e l a ' r
ACHINESAR	a c h i n e s a ' r
ACHOCOLATADO	a c h o c o l a t a ' d o
ACICATAR	a c i c a t a ' r
ACICATE	a c i c a ' t e
ACICULAR	a c i c u l a ' r
ACIDAR	a c i d a ' r
ACIDENTAL	a c i d e n t a ' l
ACIDENTAR	a c i d e n t a ' r
ACIDENTE	a c i d e ' n t e
ACIDEZ	a c i d e ' z
ACIDIFICANTE	a c i d i f i c a ' n t e
ACIDIFICAR	a c i d i f i c a ' r
ACIDÓFILO	a c i d ó ' f i l o
ACILAÇÃO	a c i l a ç ã ' o
ACIMA	a c i ' m a
ACINZAR	a c i n z a ' r
ACINZENTAR	a c i n z e n t a ' r
ACINÉTICO	a c i n é ' t i c o
ACIONADO	a c i o n a ' d o
ACIONADOR	a c i o n a d o ' r
ACIONAL	a c i o n a ' l
ACIONAR	a c i o n a ' r
ACIONISTA	a c i o n i ' s t a
ACIRRANTE	a c i r r a ' n t e
ACIRRAR	a c i r r a ' r
ACITRINAR	a c i t r i n a ' r
ACLAMAR	a c l a m a ' r
ACLAMATIVO	a c l a m a t i ' v o
ACLARAR	a c l a r a ' r
ACLIMAR	a c l i m a ' r
ACLIMATAR	a c l i m a t a ' r
ACLIMATIZAR	a c l i m a t i z a ' r
ACLIVE	a c l i ' v e
ACNE	a ' c n e
ACOBARDAR	a c o b a r d a ' r
ACOBERTAR	a c o b e r t a ' r
ACOCADO	a c o c a ' d o
ACOCORAR	a c o c o r a ' r
ACOIMAR	a c o i m a ' r
ACOITAR	a c o i t a ' r
ACOITO	a c o ' i t o
ACOLCHETAR	a c o l c h e t a ' r
ACOLCHOADEIRA	a c o l c h o a d e ' i r a
ACOLCHOADO	a c o l c h o a ' d o
ACOLCHOAR	a c o l c h o a ' r
ACOLHER	a c o l h e ' r
ACOLHIDA	a c o l h i ' d a
ACOLIA	a c o l i ' a
ACOLÁ	a c o l á '
ACOMETER	a c o m e t e ' r
ACOMETIDA	a c o m e t i ' d a
ACOMODADIÇO	a c o m o d a d i ' ç o
ACOMODAR	a c o m o d a ' r
ACOMODAÇÃO	a c o m o d a ç ã ' o
ACOMPADRAR	a c o m p a d r a ' r
ACOMPANHADOR	a c o m p a n h a d o ' r
ACOMPANHAR	a c o m p a n h a ' r
ACOMPASSAR	a c o m p a s s a ' r
ACOMPRIDAR	a c o m p r i d a ' r
ACONCHEGAR	a c o n c h e g a ' r
ACONCHEGO	a c o n c h e ' g o
ACONDICIONAR	a c o n d i c i o n a ' r
ACONDIMENTAR	a c o n d i m e n t a ' r
ACONSELHADO	a c o n s e l h a ' d o
ACONSELHADOR	a c o n s e l h a d o ' r
ACONSELHAR	a c o n s e l h a ' r
ACONSOANTAR	a c o n s o a n t a ' r
ACONTECER	a c o n t e c e ' r
ACONTECIMENTO	a c o n t e c i m e ' n t o
ACOPLAMENTO	a c o p l a m e ' n t o
ACOPLAR	a c o p l a ' r
ACORDANTE	a c o r d a ' n t e
ACORDAR	a c o r d a ' r
ACORDE	a c o ' r d e
ACORDEONISTA	a c o r d e o n i ' s t a
ACORDEÃO	a c o r d e ã ' o
ACORDO	a c o ' r d o
ACORIA	a c o r i ' a
ACORONHAR	a c o r o n h a ' r
ACORRENTAR	a c o r r e n t a ' r
ACORRER	a c o r r e ' r
ACOSSA	a c o ' s s a
ACOSSAR	a c o s s a ' r
ACOSTADO	a c o s t a ' d o
ACOSTAGEM	a c o s t a ' g e m
ACOSTAR	a c o s t a ' r
ACOSTUMAR	a c o s t u m a ' r
ACOTOVELAR	a c o t o v e l a ' r
ACOVARDAR	a c o v a r d a ' r
ACRE	a ' c r e
ACREDITADOR	a c r e d i t a d o ' r
ACREDITAR	a c r e d i t a ' r
ACRESCENTAR	a c r e s c e n t a ' r
ACRESCENTE	a c r e s c e ' n t e
ACRESCENTO	a c r e s c e ' n t o
ACRESCER	a c r e s c e ' r
ACRESCIDO	a c r e s c i ' d o
ACRIANÇAR	a c r i a n ç a ' r
ACROBACIA	a c r o b a c i ' a
ACROBATA	a c r o b a ' t a
ACROBATISMO	a c r o b a t i ' s m o
ACROBÁTICO	a c r o b á ' t i c o
ACROMATIZAR	a c r o m a t i z a ' r
ACROMÁTICO	a c r o m á ' t i c o
ACRÉSCIMO	a c r é ' s c i m o
ACRÍLICO	a c r í ' l i c o
ACRÍTICO	a c r í ' t i c o
ACRÓPOLE	a c r ó ' p o l e
ACRÔNICO	a c r ô ' n i c o
ACRÔNIMO	a c r ô ' n i m o
ACTÍNIA	a c t í ' n i a
ACTÍNIO	a c t í ' n i o
ACUDIR	a c u d i ' r
ACUIDADE	a c u i d a ' d e
ACULTURAÇÃO	a c u l t u r a ç ã ' o
ACUME	a c u ' m e
ACUMULADOR	a c u m u l a d o ' r
ACUMULAR	a c u m u l a ' r
ACUMULATIVO	a c u m u l a t i ' v o
ACUMULAÇÃO	a c u m u l a ç ã ' o
ACUPUNTURA	a c u p u n t u ' r a
ACURAR	a c u r a ' r
ACURRALAR	a c u r r a l a ' r
ACURVAR	a c u r v a ' r
ACUSADOR	a c u s a d o ' r
ACUSAR	a c u s a ' r
ACUSATIVO	a c u s a t i ' v o
ACUSATÓRIO	a c u s a t ó ' r i o
ACUSMÁTICO	a c u s m á ' t i c o
ACUSTICAMENTE	a c u s t i c a m e ' n t e
ACUTANGULAR	a c u t a n g u l a ' r
ACUTILADIÇO	a c u t i l a d i ' ç o
ACUTILANTE	a c u t i l a ' n t e
ACUTILAR	a c u t i l a ' r
ACUTILÂNCIA	a c u t i l â ' n c i a
ACUTÂNGULO	a c u t â ' n g u l o
ACÁCIA	a c á ' c i a
ACÁDICO	a c á ' d i c o
ACÉFALO	a c é ' f a l o
ACÉRRIMO	a c é ' r r i m o
ACÉTICO	a c é ' t i c o
ACÍCLICO	a c í ' c l i c o
ACÓLITO	a c ó ' l i t o
ACÓRDÃO	a c ó r d ã ' o
ACÚSTICA	a c ú ' s t i c a
ACÚSTICO	a c ú ' s t i c o
ADAGA	a d a ' g a
ADAGIAL	a d a g i a ' l
ADAGIAR	a d a g i a ' r
ADAGIÁRIO	a d a g i á ' r i o
ADAMASCAR	a d a m a s c a ' r
ADAMASTOR	a d a m a s t o ' r
ADAPTABILIDADE	a d a p t a b i l i d a ' d e
ADAPTADOR	a d a p t a d o ' r
ADAPTAR	a d a p t a ' r
ADAPTATIVO	a d a p t a t i ' v o
ADAPTAÇÃO	a d a p t a ç ã ' o
ADAPTÔMETRO	a d a p t ô ' m e t r o
ADEGA	a d e ' g a
ADEGAR	a d e g a ' r
ADEGUEIRO	a d e g u e ' i r o
ADEJAR	a d e j a ' r
ADELGAÇAR	a d e l g a ç a ' r
ADEMAIS	a d e m a ' i s
ADENDA	a d e ' n d a
ADENOMA	a d e n o ' m a
ADENOPATIA	a d e n o p a t i ' a
ADENOSINA	a d e n o s i ' n a
ADENSAR	a d e n s a ' r
ADENTAR	a d e n t a ' r
ADENTRAR	a d e n t r a ' r
ADENTRO	a d e ' n t r o
ADEPTO	a d e ' p t o
ADEQUAR	a d e q u a ' r
ADERECISTA	a d e r e c i ' s t a
ADERENTE	a d e r e ' n t e
ADEREÇO	a d e r e ' ç o
ADERIR	a d e r i ' r
ADERÊNCIA	a d e r ê ' n c i a
ADESIVO	a d e s i ' v o
ADESTRAR	a d e s t r a ' r
ADESÃO	a d e s ã ' o
ADEUS	a d e ' u s
ADEUSAR	a d e u s a ' r
ADIABILIDADE	a d i a b i l i d a ' d e
ADIAMANTAR	a d i a m a n t a ' r
ADIANTAR	a d i a n t a ' r
ADIANTE	a d i a ' n t e
ADIAR	a d i a ' r
ADICIONAL	a d i c i o n a ' l
ADICIONAR	a d i c i o n a ' r
ADIDO	a d i ' d o
ADIETAR	a d i e t a ' r
ADIPOSE	a d i p o ' s e
ADIPOSO	a d i p o ' s o
ADIR	a d i ' r
ADITAR	a d i t a ' r
ADITIVO	a d i t i ' v o
ADITÍCIO	a d i t í ' c i o
ADIVINHA	a d i v i ' n h a
ADIVINHADOR	a d i v i n h a d o ' r
ADIVINHAR	a d i v i n h a ' r
ADIVINHATÓRIO	a d i v i n h a t ó ' r i o
ADIVINHO	a d i v i ' n h o
ADIÇÃO	a d i ç ã ' o
ADJACENTE	a d j a c e ' n t e
ADJACÊNCIA	a d j a c ê ' n c i a
ADJETIVAL	a d j e t i v a ' l
ADJETIVAR	a d j e t i v a ' r
ADJETIVO	a d j e t i ' v o
ADJUDICADOR	a d j u d i c a d o ' r
ADJUDICAR	a d j u d i c a ' r
ADJUDICATÁRIO	a d j u d i c a t á ' r i o
ADJUDICATÓRIO	a d j u d i c a t ó ' r i o
ADJUNTO	a d j u ' n t o
ADJUNÇÃO	a d j u n ç ã ' o
ADJURAR	a d j u r a ' r
ADJURAÇÃO	a d j u r a ç ã ' o
ADJUVANTE	a d j u v a ' n t e
ADJUVAR	a d j u v a ' r
ADMINISTRAR	a d m i n i s t r a ' r
ADMINISTRATIVO	a d m i n i s t r a t i ' v o
ADMIRABILIDADE	a d m i r a b i l i d a ' d e
ADMIRAR	a d m i r a ' r
ADMIRATIVO	a d m i r a t i ' v o
ADMIRÁVEL	a d m i r á ' v e l
ADMISSÃO	a d m i s s ã ' o
ADMISSÍVEL	a d m i s s í ' v e l
ADMITIR	a d m i t i ' r
ADMOESTADOR	a d m o e s t a d o ' r
ADMOESTAR	a d m o e s t a ' r
ADMOESTATÓRIO	a d m o e s t a t ó ' r i o
ADOBE	a d o ' b e
ADOCICAR	a d o c i c a ' r
ADOECER	a d o e c e ' r
ADOENTAR	a d o e n t a ' r
ADOESTAR	a d o e s t a ' r
ADOIDAR	a d o i d a ' r
ADOLESCENTE	a d o l e s c e ' n t e
ADOLESCER	a d o l e s c e ' r
ADOLESCÊNCIA	a d o l e s c ê ' n c i a
ADONDE	a d o ' n d e
ADONISAR	a d o n i s a ' r
ADORAR	a d o r a ' r
ADORATIVO	a d o r a t i ' v o
ADORMECER	a d o r m e c e ' r
ADORMENTAR	a d o r m e n t a ' r
ADORNAR	a d o r n a ' r
ADORNO	a d o ' r n o
ADOTANTE	a d o t a ' n t e
ADOTAR	a d o t a ' r
ADOTIVO	a d o t i ' v o
ADOÇANTE	a d o ç a ' n t e
ADOÇAR	a d o ç a ' r
ADOÇÃO	a d o ç ã ' o
ADQUIRENTE	a d q u i r e ' n t e
ADQUIRIR	a d q u i r i ' r
ADREDE	a d r e ' d e
ADRENALINA	a d r e n a l i ' n a
ADRIÁTICO	a d r i á ' t i c o
ADRO	a ' d r o
ADSCREVER	a d s c r e v e ' r
ADSCRITO	a d s c r i ' t o
ADSCRIÇÃO	a d s c r i ç ã ' o
ADSTRITO	a d s t r i ' t o
ADUANEIRO	a d u a n e ' i r o
ADUBADELA	a d u b a d e ' l a
ADUBADOR	a d u b a d o ' r
ADUBADURA	a d u b a d u ' r a
ADUBAR	a d u b a ' r
ADUBO	a d u ' b o
ADUELA	a d u e ' l a
ADUFE	a d u ' f e
ADULADOR	a d u l a d o ' r
ADULAR	a d u l a ' r
ADULATÓRIO	a d u l a t ó ' r i o
ADULTERADOR	a d u l t e r a d o ' r
ADULTERAR	a d u l t e r a ' r
ADULTERINO	a d u l t e r i ' n o
ADULTEROSO	a d u l t e r o ' s o
ADULTO	a d u ' l t o
ADULTÉRIO	a d u l t é ' r i o
ADUTOR	a d u t o ' r
ADUZIR	a d u z i ' r
ADVECÇÃO	a d v e c ç ã ' o
ADVENTISMO	a d v e n t i ' s m o
ADVENTISTA	a d v e n t i ' s t a
ADVENTO	a d v e ' n t o
ADVENTÍCIO	a d v e n t í ' c i o
ADVERBIAL	a d v e r b i a ' l
ADVERBIALIZAR	a d v e r b i a l i z a ' r
ADVERBIAR	a d v e r b i a ' r
ADVERSAR	a d v e r s a ' r
ADVERSATIVO	a d v e r s a t i ' v o
ADVERSO	a d v e ' r s o
ADVERSÁRIO	a d v e r s á ' r i o
ADVERSÃO	a d v e r s ã ' o
ADVERTIR	a d v e r t i ' r
ADVERTÊNCIA	a d v e r t ê ' n c i a
ADVINDO	a d v i ' n d o
ADVIR	a d v i ' r
ADVOCACIA	a d v o c a c i ' a
ADVOCATURA	a d v o c a t u ' r a
ADVOCATÓRIO	a d v o c a t ó ' r i o
ADVOGADO	a d v o g a ' d o
ADVOGAR	a d v o g a ' r
ADVÉRBIO	a d v é ' r b i o
ADÁGIO	a d á ' g i o
ADÃO	a d ã ' o
ADÔNIS	a d ô ' n i s
ADÚLTERO	a d ú ' l t e r o
AEROBALÍSTICA	a e r o b a l í ' s t i c a
AERODINÂMICA	a e r o d i n â ' m i c a
AERODINÂMICO	a e r o d i n â ' m i c o
AERODUTO	a e r o d u ' t o
AEROESPACIAL	a e r o e s p a c i a ' l
AEROGRAMA	a e r o g r a ' m a
AEROMODELISMO	a e r o m o d e l i ' s m o
AEROMOTOR	a e r o m o t o ' r
AERONAUTA	a e r o n a ' u t a
AERONAVE	a e r o n a ' v e
AERONAVEGAÇÃO	a e r o n a v e g a ç ã ' o
AERONÁUTICA	a e r o n á ' u t i c a
AERONÁUTICO	a e r o n á ' u t i c o
AEROPLANISMO	a e r o p l a n i ' s m o
AEROPLANO	a e r o p l a ' n o
AEROPORTO	a e r o p o ' r t o
AEROPORTUÁRIO	a e r o p o r t u á ' r i o
AEROPOSTAL	a e r o p o s t a ' l
AEROSCOPIA	a e r o s c o p i ' a
AEROSCÓPIO	a e r o s c ó ' p i o
AEROSSOL	a e r o s s o ' l
AEROTRANSPORTADO	a e r o t r a n s p o r t a ' d o
AERÓBICO	a e r ó ' b i c o
AERÓDROMO	a e r ó ' d r o m o
AFABILIDADE	a f a b i l i d a ' d e
AFABILÍSSIMO	a f a b i l í ' s s i m o
AFADIGAR	a f a d i g a ' r
AFAGADOR	a f a g a d o ' r
AFAGAR	a f a g a ' r
AFAGO	a f a ' g o
AFAGOSO	a f a g o ' s o
AFAMAR	a f a m a ' r
AFANAR	a f a n a ' r
AFANOSO	a f a n o ' s o
AFASIA	a f a s i ' a
AFASTADOR	a f a s t a d o ' r
AFASTAR	a f a s t a ' r
AFAZER	a f a z e ' r
AFAZERES	a f a z e ' r e s
AFEGÃO	a f e g ã ' o
AFEITO	a f e ' i t o
AFEIÇOAR	a f e i ç o a ' r
AFEIÇÃO	a f e i ç ã ' o
AFEMINAR	a f e m i n a ' r
AFERENTE	a f e r e ' n t e
AFERIR	a f e r i ' r
AFERRAR	a f e r r a ' r
AFERROAR	a f e r r o a ' r
AFERROLHAR	a f e r r o l h a ' r
AFETANTE	a f e t a ' n t e
AFETAR	a f e t a ' r
AFETIVO	a f e t i ' v o
AFETO	a f e ' t o
AFETUOSO	a f e t u o ' s o
AFEÇÃO	a f e ç ã ' o
AFIADEIRA	a f i a d e ' i r a
AFIADOR	a f i a d o ' r
AFIAMBRAR	a f i a m b r a ' r
AFIANÇAR	a f i a n ç a ' r
AFIAR	a f i a ' r
AFICIONADO	a f i c i o n a ' d o
AFIDALGAR	a f i d a l g a ' r
AFIGURAR	a f i g u r a ' r
AFIGURATIVO	a f i g u r a t i ' v o
AFILAR	a f i l a ' r
AFILHADO	a f i l h a ' d o
AFILHAR	a f i l h a ' r
AFILIAR	a f i l i a ' r
AFILIAÇÃO	a f i l i a ç ã ' o
AFIM	a f i ' m
AFINADOR	a f i n a d o ' r
AFINAGEM	a f i n a ' g e m
AFINAL	a f i n a ' l
AFINAR	a f i n a ' r
AFINCAR	a f i n c a ' r
AFINCO	a f i ' n c o
AFINFAR	a f i n f a ' r
AFINIDADE	a f i n i d a ' d e
AFIRMAR	a f i r m a ' r
AFIRMATIVA	a f i r m a t i ' v a
AFIRMATIVO	a f i r m a t i ' v o
AFIRMAÇÃO	a f i r m a ç ã ' o
AFIVELAR	a f i v e l a ' r
AFIXAR	a f i x a ' r
AFIXO	a f i ' x o
AFLAUTAR	a f l a u t a ' r
AFLEUMAR	a f l e u m a ' r
AFLIGIR	a f l i g i ' r
AFLITIVO	a f l i t i ' v o
AFLITO	a f l i ' t o
AFLIÇÃO	a f l i ç ã ' o
AFLORAR	a f l o r a ' r
AFLUENTE	a f l u e ' n t e
AFLUIR	a f l u i ' r
AFLUXO	a f l u ' x o
AFLUÊNCIA	a f l u ê ' n c i a
AFOCINHAR	a f o c i n h a ' r
AFOFAR	a f o f a ' r
AFOGADELA	a f o g a d e ' l a
AFOGADIÇO	a f o g a d i ' ç o
AFOGAR	a f o g a ' r
AFOGO	a f o ' g o
AFOGUEAR	a f o g u e a ' r
AFOITAR	a f o i t a ' r
AFOITEZA	a f o i t e ' z a
AFOITO	a f o ' i t o
AFOLAR	a f o l a ' r
AFOLHAR	a f o l h a ' r
AFONIA	a f o n i ' a
AFONO	a f o ' n o
AFONSINO	a f o n s i ' n o
AFORA	a f o ' r a
AFORAR	a f o r a ' r
AFORISMO	a f o r i ' s m o
