A	a
ABENÇOA'R	a b e~ s o a X
ABERRA'NTE	a b e R a~ tS i
ABERRA'R	a b e R a X
ABERRATI'VO	a b e R a tS i v u
ABERRAÇÃ'O	a b e R a s a~ w~
ABE'RTA	a b E X t a
ABERTI'VO	a b e X tS i v u
ABE'RTO	a b E X t u
ABERTU'RA	a b e X t u r a
ABESOIRA'R	a b e z o j r a X
ABESOURA'R	a b e z ow r a X
ABESPINHA'R	a b e s p i~ J a X
ABE'TO	a b e t u
ABETUMA'R	a b e t u~ m a X
ABISMA'L	a b i z m a w
ABISMA'R	a b i z m a X
ABI'SMO	a b i z m u
ABISSA'L	a b i s a w
ABISSÍ'NIO	a b i s i n i u
ABJE'TO	a b Z E t u
ABJEÇÃ'O	a b Z e s a~ w~
ABJUDICA'R	a b Z u dZ i k a X
ABJURA'R	a b Z u r a X
ABJURATÓ'RIO	a b Z u r a t O r i u
ABLATI'VO	a b l a tS i v u
ABLAÇÃ'O	a b l a s a~ w~
ABNEGA'R	a b n e g a X
ABNEGATI'VO	a b n e g a tS i v u
ABOBADA'DO	a b o b a d a d u
ABOBA'R	a b o b a X
ABOBORA'L	a b o b o r a w
ABOBORA'R	a b o b o r a X
ABOBORE'IRA	a b o b o r ej r a
ABOCAME'NTO	a b o k a m e~ t u
ABOCANHA'R	a b o k a J a X
ABOLICIONI'SMO	a b o l i s i o n i z m u
ABOLICIONI'STA	a b o l i s i o n i s t a
ABOLI'R	a b o l i X
ABOLITI'VO	a b o l i tS i v u
ABOMINA'R	a b o m i~ n a X
ABONA'R	a b o n a X
ABONATÓ'RIO	a b o n a t O r i u
ABO'NO	a b o~ n u
ABORDA'GEM	a b o R d a Z e~j~
ABORDA'R	a b o R d a X
ABO'RDO	a b O R d u
ABORRECE'R	a b o R e s e X
ABORTADE'IRA	a b o X t a d ej r a
ABORTA'R	a b o X t a X
ABORTI'VO	a b o X tS i v u
ABO'RTO	a b O X t u
ABORÍ'GENE	a b o r i Z e n i
ABOTOADE'IRA	a b o t o a d ej r a
ABOTOADU'RA	a b o t o a d u r a
ABOTOA'R	a b o t o a X
ABRACADA'BRA	a b r a k a d a b r a
ABRANDA'R	a b r a~ d a X
ABRANGE'R	a b r a~ Z e X
ABRANGÊ'NCIA	a b r a~ Z e~ s i a
ABRASADO'R	a b r a z a d o X
ABRASA'NTE	a b r a z a~ tS i
ABRASA'R	a b r a z a X
ABRASILEIRA'R	a b r a z i l e j r a X
ABRASI'VO	a b r a z i v u
ABRASÃ'O	a b r a z a~ w~
ABRAÇADE'IRA	a b r a s a d ej r a
ABRAÇA'R	a b r a s a X
ABRA'ÇO	a b r a s u
A'BRE	a b r i
ABREACÇÃ'O	a b r e a k s a~ w~
ABRENUNCIA'R	a b r e n u~ s i a X
ABREVIA'R	a b r e v i a X
ABREVIATI'VO	a b r e v i a tS i v u
ABREVIATU'RA	a b r e v i a t u r a
ABRIGA'DA	a b r i g a d a
ABRIGADO'IRO	a b r i g a d o j r u
ABRIGADO'URO	a b r i g a d ow r u
ABRIGA'R	a b r i g a X
ABRI'GO	a b r i g u
ABRILHANTA'R	a b r i L a~ t a X
ABRI'R	a b r i X
ABROLHA'R	a b r o L a X
ABROLHO'SO	a b r o L o z u
ABRUNHA'L	a b r u~ J a w
ABRUNHE'IRO	a b r u~ J ej r u
ABRU'NHO	a b r u~ J u
ABRU'PTO	a b r u p t u
ABSENTI'SMO	a b s e~ tS i z m u
ABSENTI'STA	a b s e~ tS i s t a
ABSI'DE	a b s i dZ i
ABSI'NTO	a b s i~ t u
ABSOLU'TO	a b s o l u t u
ABSOLUTÓ'RIO	a b s o l u t O r i u
ABSOLVE'R	a b s o w v e X
ABSOLVIÇÃ'O	a b s o w v i s a~ w~
ABSO'RTO	a b s o X t u
ABSORVEDO'R	a b s o R v e d o X
ABSORVEDO'URO	a b s o R v e d ow r u
ABSORVE'NTE	a b s o R v e~ tS i
ABSORVE'R	a b s o R v e X
ABSORVIBILIDA'DE	a b s o R v i b i l i d a dZ i
ABSORVÊ'NCIA	a b s o R v e~ s i a
ABSORÇÃ'O	a b s o X s a~ w~
ABSTENCIONI'SMO	a b s t e~ s i o n i z m u
ABSTENCIONI'STA	a b s t e~ s i o n i s t a
ABSTENÇÃ'O	a b s t e~ s a~ w~
ABSTE'R	a b s t e X
ABSTINE'NTE	a b s tS i~ n e~ tS i
ABSTINÊ'NCIA	a b s tS i~ n e~ s i a
ABSTRACIONI'SMO	a b s t r a s i o n i z m u
ABSTRAI'R	a b s t r a j X
ABSTRATI'VO	a b s t r a tS i v u
ABSTRA'TO	a b s t r a t u
ABSTRAÇÃ'O	a b s t r a s a~ w~
ABSTU'SA	a b s t u z a
ABSTÉ'MIO	a b s t E m i u
ABSURDE'Z	a b s u R d e js
ABSURDE'ZA	a b s u R d e z a
ABSU'RDO	a b s u R d u
ABSÍ'NTIO	a b s i~ tS i u
ABULI'A	a b u l i a
ABULÍ'CO	a b u l i k u
ABUNDA'NTE	a b u~ d a~ tS i
ABUNDA'R	a b u~ d a X
ABUNDÂ'NCIA	a b u~ d a~ s i a
ABURGUESA'R	a b u R g e z a X
ABUSA'R	a b u z a X
ABUSI'VO	a b u z i v u
ABU'SO	a b u z u
ABU'TRE	a b u t r i
ABÓ'BADA	a b O b a d a
ABÓ'BORA	a b O b o r a
ACABADO'TE	a k a b a d O tS i
ACABA'R	a k a b a X
ACABRUNHA'DO	a k a b r u~ J a d u
ACADEMI'A	a k a d e m i a
ACADEMI'SMO	a k a d e m i z m u
ACADÉ'MICO	a k a d E m i k u
ACALCA'R	a k a w k a X
ACALENTA'R	a k a l e~ t a X
ACALE'NTO	a k a l e~ t u
ACALMA'R	a k a w m a X
ACALMI'A	a k a w m i a
ACALORA'R	a k a l o r a X
ACALÇA'R	a k a w s a X
ACA'MA	a k a~ m a
ACAMA'R	a k a m a X
ACAMPA'R	a k a~ p a X
ACANHA'R	a k a J a X
ACA'NHO	a k a~ J u
ACANTONA'R	a k a~ t o n a X
ACARICIADO'R	a k a r i s i a d o X
ACARICIA'NTE	a k a r i s i a~ tS i
ACARICIA'R	a k a r i s i a X
ACARICIATI'VO	a k a r i s i a tS i v u
ACARINHA'R	a k a r i~ J a X
ACARRETA'R	a k a R e t a X
ACARTA'R	a k a X t a X
ACASALA'R	a k a z a l a X
ACA'SO	a k a z u
ACASTANHA'DO	a k a s t a J a d u
ACASTELA'R	a k a s t e l a X
ACATADO'R	a k a t a d o X
ACATA'R	a k a t a X
ACA'TO	a k a t u
ACATÓ'LICO	a k a t O l i k u
ACAUTELA'R	a k a u t e l a X
ACAVALA'DO	a k a v a l a d u
ACEDE'NTE	a s e d e~ tS i
ACEDE'R	a s e d e X
ACEDIO'SO	a s e dZ i o z u
ACEDÊ'NCIA	a s e d e~ s i a
ACEFALI'A	a s e f a l i a
ACEFÁ'LICO	a s e f a l i k u
ACEITABILIDA'DE	a s e j t a b i l i d a dZ i
ACEITADO'R	a s e j t a d o X
ACEITA'NTE	a s e j t a~ tS i
ACEITA'R	a s e j t a X
ACE'ITE	a s ej tS i
ACELERADO'R	a s e l e r a d o X
ACELERA'NTE	a s e l e r a~ tS i
ACELERA'R	a s e l e r a X
ACENA'R	a s e n a X
ACENDA'LHA	a s e~ d a L a
ACENDE'R	a s e~ d e X
ACE'NO	a s e~ n u
ACE'NTO	a s e~ t u
ACENTUA'L	a s e~ t u a w
ACENTUA'R	a s e~ t u a X
ACEPI'PE	a s e p i p i
ACERBA'R	a s e R b a X
ACE'RCA	a s e X k a
ACERCA'R	a s e X k a X
ACERRIMAME'NTE	a s e R i~ m a m e~ tS i
ACERTA'R	a s e X t a X
ACE'RTO	a s E X t u
ACE'RVO	a s e R v u
ACE'SO	a s e z u
ACE'SSO	a s E s u
ACESSÃ'O	a s e s a~ w~
ACESSÍ'VEL	a s e s i v e w
ACESSÓ'RIO	a s e s O r i u
ACETA'L	a s e t a w
ACETA'TO	a s e t a t u
ACETILE'NO	a s e tS i l e~ n u
ACETINA'R	a s e tS i~ n a X
ACETO'NA	a s e t o~ n a
ACEÇÃ'O	a s e s a~ w~
A'CHA	a S a
ACHA'DA	a S a d a
ACHA'DO	a S a d u
ACHA'QUE	a S a k i
ACHA'R	a S a X
ACHATADE'LA	a S a t a d E l a
ACHATADU'RA	a S a t a d u r a
ACHATA'R	a S a t a X
ACHE'GA	a S e g a
ACHEGA'R	a S e g a X
ACHE'GO	a S e g u
ACHINCALHA'R	a S i~ k a L a X
ACHINELA'R	a S i~ n e l a X
ACHINESA'R	a S i~ n e z a X
ACHOCOLATA'DO	a S o k o l a t a d u
ACICATA'R	a s i k a t a X
ACICA'TE	a s i k a tS i
ACICULA'R	a s i k u l a X
ACIDA'R	a s i d a X
ACIDENTA'L	a s i d e~ t a w
ACIDENTA'R	a s i d e~ t a X
ACIDE'NTE	a s i d e~ tS i
ACIDE'Z	a s i d e js
ACIDIFICA'NTE	a s i dZ i f i k a~ tS i
ACIDIFICA'R	a s i dZ i f i k a X
ACIDÓ'FILO	a s i d O f i l u
ACILAÇÃ'O	a s i l a s a~ w~
ACI'MA	a s i~ m a
ACINZA'R	a s i~ z a X
ACINZENTA'R	a s i~ z e~ t a X
ACINÉ'TICO	a s i~ n E tS i k u
ACIONA'DO	a s i o n a d u
ACIONADO'R	a s i o n a d o X
ACIONA'L	a s i o n a w
ACIONA'R	a s i o n a X
ACIONI'STA	a s i o n i s t a
ACIRRA'NTE	a s i R a~ tS i
ACIRRA'R	a s i R a X
ACITRINA'R	a s i t r i~ n a X
ACLAMA'R	a k l a m a X
ACLAMATI'VO	a k l a m a tS i v u
ACLARA'R	a k l a r a X
ACLIMA'R	a k l i~ m a X
ACLIMATA'R	a k l i~ m a t a X
ACLIMATIZA'R	a k l i~ m a tS i z a X
ACLI'VE	a k l i v i
A'CNE	a k n i
ACOBARDA'R	a k o b a R d a X
ACOBERTA'R	a k o b e X t a X
ACOCA'DO	a k o k a d u
ACOCORA'R	a k o k o r a X
ACOIMA'R	a k o i~ m a X
ACOITA'R	a k o j t a X
ACO'ITO	a k o j t u
ACOLCHETA'R	a k o w S e t a X
ACOLCHOADE'IRA	a k o w S o a d ej r a
ACOLCHOA'DO	a k o w S o a d u
ACOLCHOA'R	a k o w S o a X
ACOLHE'R	a k o L e X
ACOLHI'DA	a k o L i d a
ACOLI'A	a k o l i a
ACOLÁ'	a k o l a
ACOMETE'R	a k o m e t e X
ACOMETI'DA	a k o m e tS i d a
ACOMODADI'ÇO	a k o m o d a dZ i s u
ACOMODA'R	a k o m o d a X
ACOMODAÇÃ'O	a k o m o d a s a~ w~
ACOMPADRA'R	a k o~ p a d r a X
ACOMPANHADO'R	a k o~ p a J a d o X
ACOMPANHA'R	a k o~ p a J a X
ACOMPASSA'R	a k o~ p a s a X
ACOMPRIDA'R	a k o~ p r i d a X
ACONCHEGA'R	a k o~ S e g a X
ACONCHE'GO	a k o~ S e g u
ACONDICIONA'R	a k o~ dZ i s i o n a X
ACONDIMENTA'R	a k o~ dZ i~ m e~ t a X
ACONSELHA'DO	a k o~ s e L a d u
ACONSELHADO'R	a k o~ s e L a d o X
ACONSELHA'R	a k o~ s e L a X
ACONSOANTA'R	a k o~ s o a~ t a X
ACONTECE'R	a k o~ t e s e X
ACONTECIME'NTO	a k o~ t e s i~ m e~ t u
ACOPLAME'NTO	a k o p l a m e~ t u
ACOPLA'R	a k o p l a X
ACORDA'NTE	a k o R d a~ tS i
ACORDA'R	a k o R d a X
ACO'RDE	a k O R dZ i
ACORDEONI'STA	a k o R d e o n i s t a
ACORDEÃ'O	a k o R d e a~ w~
ACO'RDO	a k o R d u
ACORI'A	a k o r i a
ACORONHA'R	a k o r o J a X
ACORRENTA'R	a k o R e~ t a X
ACORRE'R	a k o R e X
ACO'SSA	a k O s a
ACOSSA'R	a k o s a X
ACOSTA'DO	a k o s t a d u
ACOSTA'GEM	a k o s t a Z e~j~
ACOSTA'R	a k o s t a X
ACOSTUMA'R	a k o s t u~ m a X
ACOTOVELA'R	a k o t o v e l a X
ACOVARDA'R	a k o v a R d a X
A'CRE	a k r i
ACREDITADO'R	a k r e dZ i t a d o X
ACREDITA'R	a k r e dZ i t a X
ACRESCENTA'R	a k r e s e~ t a X
ACRESCE'NTE	a k r e s e~ tS i
ACRESCE'NTO	a k r e s e~ t u
ACRESCE'R	a k r e s e X
ACRESCI'DO	a k r e s i d u
ACRIANÇA'R	a k r i a~ s a X
ACROBACI'A	a k r o b a s i a
ACROBA'TA	a k r o b a t a
ACROBATI'SMO	a k r o b a tS i z m u
ACROBÁ'TICO	a k r o b a tS i k u
ACROMATIZA'R	a k r o m a tS i z a X
ACROMÁ'TICO	a k r o m a tS i k u
ACRÉ'SCIMO	a k r E s i~ m u
ACRÍ'LICO	a k r i l i k u
ACRÍ'TICO	a k r i tS i k u
ACRÓ'POLE	a k r O p o l i
ACRÔ'NICO	a k r o n i k u
ACRÔ'NIMO	a k r o n i~ m u
ACTÍ'NIA	a k tS i n i a
ACTÍ'NIO	a k tS i n i u
ACUDI'R	a k u dZ i X
ACUIDA'DE	a k u i d a dZ i
ACULTURAÇÃ'O	a k u w t u r a s a~ w~
ACU'ME	a k u~ m i
ACUMULADO'R	a k u~ m u l a d o X
ACUMULA'R	a k u~ m u l a X
ACUMULATI'VO	a k u~ m u l a tS i v u
ACUMULAÇÃ'O	a k u~ m u l a s a~ w~
ACUPUNTU'RA	a k u p u~ t u r a
ACURA'R	a k u r a X
ACURRALA'R	a k u R a l a X
ACURVA'R	a k u R v a X
ACUSADO'R	a k u z a d o X
ACUSA'R	a k u z a X
ACUSATI'VO	a k u z a tS i v u
ACUSATÓ'RIO	a k u z a t O r i u
ACUSMÁ'TICO	a k u z m a tS i k u
ACUSTICAME'NTE	a k u s tS i k a m e~ tS i
ACUTANGULA'R	a k u t a~ g u l a X
ACUTILADI'ÇO	a k u tS i l a dZ i s u
ACUTILA'NTE	a k u tS i l a~ tS i
ACUTILA'R	a k u tS i l a X
ACUTILÂ'NCIA	a k u tS i l a~ s i a
ACUTÂ'NGULO	a k u t a~ g u l u
ACÁ'CIA	a k a s i a
ACÁ'DICO	a k a dZ i k u
ACÉ'FALO	a s E f a l u
ACÉ'RRIMO	a s E R i~ m u
ACÉ'TICO	a s E tS i k u
ACÍ'CLICO	a s i k l i k u
ACÓ'LITO	a k O l i t u
ACÓRDÃ'O	a k O R d a~ w~
ACÚ'STICA	a k u s tS i k a
ACÚ'STICO	a k u s tS i k u
ADA'GA	a d a g a
ADAGIA'L	a d a Z i a w
ADAGIA'R	a d a Z i a X
ADAGIÁ'RIO	a d a Z i a r i u
ADAMASCA'R	a d a m a s k a X
ADAMASTO'R	a d a m a s t o X
ADAPTABILIDA'DE	a d a p t a b i l i d a dZ i
ADAPTADO'R	a d a p t a d o X
ADAPTA'R	a d a p t a X
ADAPTATI'VO	a d a p t a tS i v u
ADAPTAÇÃ'O	a d a p t a s a~ w~
ADAPTÔ'METRO	a d a p t o m e t r u
ADE'GA	a d E g a
ADEGA'R	a d e g a X
ADEGUE'IRO	a d e g ej r u
ADEJA'R	a d e Z a X
ADELGAÇA'R	a d e w g a s a X
ADEMA'IS	a d e m a j s
ADE'NDA	a d e~ d a
ADENO'MA	a d e n o~ m a
ADENOPATI'A	a d e n o p a tS i a
ADENOSI'NA	a d e n o z i~ n a
ADENSA'R	a d e~ s a X
ADENTA'R	a d e~ t a X
ADENTRA'R	a d e~ t r a X
ADE'NTRO	a d e~ t r u
ADE'PTO	a d E p t u
ADEQUA'R	a d e k u a X
ADERECI'STA	a d e r e s i s t a
ADERE'NTE	a d e r e~ tS i
ADERE'ÇO	a d e r e s u
ADERI'R	a d e r i X
ADERÊ'NCIA	a d e r e~ s i a
ADESI'VO	a d e z i v u
ADESTRA'R	a d e s t r a X
ADESÃ'O	a d e z a~ w~
ADE'US	a d e u s
ADEUSA'R	a d e u z a X
ADIABILIDA'DE	a dZ i a b i l i d a dZ i
ADIAMANTA'R	a dZ i a m a~ t a X
ADIANTA'R	a dZ i a~ t a X
ADIA'NTE	a dZ i a~ tS i
ADIA'R	a dZ i a X
ADICIONA'L	a dZ i s i o n a w
ADICIONA'R	a dZ i s i o n a X
ADI'DO	a dZ i d u
ADIETA'R	a dZ i e t a X
ADIPO'SE	a dZ i p O z i
ADIPO'SO	a dZ i p o z u
ADI'R	a dZ i X
ADITA'R	a dZ i t a X
ADITI'VO	a dZ i tS i v u
ADITÍ'CIO	a dZ i tS i s i u
ADIVI'NHA	a dZ i v i~ J a
ADIVINHADO'R	a dZ i v i~ J a d o X
ADIVINHA'R	a dZ i v i~ J a X
ADIVINHATÓ'RIO	a dZ i v i~ J a t O r i u
ADIVI'NHO	a dZ i v i~ J u
ADIÇÃ'O	a dZ i s a~ w~
ADJACE'NTE	a dZ Z a s e~ tS i
ADJACÊ'NCIA	a dZ Z a s e~ s i a
ADJETIVA'L	a dZ Z e tS i v a w
ADJETIVA'R	a dZ Z e tS i v a X
ADJETI'VO	a dZ Z e tS i v u
ADJUDICADO'R	a dZ Z u dZ i k a d o X
ADJUDICA'R	a dZ Z u dZ i k a X
ADJUDICATÁ'RIO	a dZ Z u dZ i k a t a r i u
ADJUDICATÓ'RIO	a dZ Z u dZ i k a t O r i u
ADJU'NTO	a dZ Z u~ t u
ADJUNÇÃ'O	a dZ Z u~ s a~ w~
ADJURA'R	a dZ Z u r a X
ADJURAÇÃ'O	a dZ Z u r a s a~ w~
ADJUVA'NTE	a dZ Z u v a~ tS i
ADJUVA'R	a dZ Z u v a X
ADMINISTRA'R	a dZ m i~ n i s t r a X
ADMINISTRATI'VO	a dZ m i~ n i s t r a tS i v u
ADMIRABILIDA'DE	a dZ m i r a b i l i d a dZ i
ADMIRA'R	a dZ m i r a X
ADMIRATI'VO	a dZ m i r a tS i v u
ADMIRÁ'VEL	a dZ m i r a v e w
ADMISSÃ'O	a dZ m i s a~ w~
ADMISSÍ'VEL	a dZ m i s i v e w
ADMITI'R	a dZ m i tS i X
ADMOESTADO'R	a dZ m o e s t a d o X
ADMOESTA'R	a dZ m o e s t a X
ADMOESTATÓ'RIO	a dZ m o e s t a t O r i u
ADO'BE	a d o b i
ADOCICA'R	a d o s i k a X
ADOECE'R	a d o e s e X
ADOENTA'R	a d o e~ t a X
ADOESTA'R	a d o e s t a X
ADOIDA'R	a d o j d a X
ADOLESCE'NTE	a d o l e s e~ tS i
ADOLESCE'R	a d o l e s e X
ADOLESCÊ'NCIA	a d o l e s e~ s i a
ADO'NDE	a d o~ dZ i
ADONISA'R	a d o n i z a X
ADORA'R	a d o r a X
ADORATI'VO	a d o r a tS i v u
ADORMECE'R	a d o R m e s e X
ADORMENTA'R	a d o R m e~ t a X
ADORNA'R	a d o R n a X
ADO'RNO	a d o R n u
ADOTA'NTE	a d o t a~ tS i
ADOTA'R	a d o t a X
ADOTI'VO	a d o tS i v u
ADOÇA'NTE	a d o s a~ tS i
ADOÇA'R	a d o s a X
ADOÇÃ'O	a d o s a~ w~
ADQUIRE'NTE	a dZ k i r e~ tS i
ADQUIRI'R	a dZ k i r i X
ADRE'DE	a d r e dZ i
ADRENALI'NA	a d r e n a l i~ n a
ADRIÁ'TICO	a d r i a tS i k u
A'DRO	a d r u
ADSCREVE'R	a dZ s k r e v e X
ADSCRI'TO	a dZ s k r i t u
ADSCRIÇÃ'O	a dZ s k r i s a~ w~
ADSTRI'TO	a dZ s t r i t u
ADUANE'IRO	a d u a n ej r u
ADUBADE'LA	a d u b a d E l a
ADUBADO'R	a d u b a d o X
ADUBADU'RA	a d u b a d u r a
ADUBA'R	a d u b a X
ADU'BO	a d u b u
ADUE'LA	a d u E l a
ADU'FE	a d u f i
ADULADO'R	a d u l a d o X
ADULA'R	a d u l a X
ADULATÓ'RIO	a d u l a t O r i u
ADULTERADO'R	a d u w t e r a d o X
ADULTERA'R	a d u w t e r a X
ADULTERI'NO	a d u w t e r i~ n u
ADULTERO'SO	a d u w t e r o z u
ADU'LTO	a d u w t u
ADULTÉ'RIO	a d u w t E r i u
ADUTO'R	a d u t o X
ADUZI'R	a d u z i X
ADVECÇÃ'O	a dZ v e k s a~ w~
ADVENTI'SMO	a dZ v e~ tS i z m u
ADVENTI'STA	a dZ v e~ tS i s t a
ADVE'NTO	a dZ v e~ t u
ADVENTÍ'CIO	a dZ v e~ tS i s i u
ADVERBIA'L	a dZ v e R b i a w
ADVERBIALIZA'R	a dZ v e R b i a l i z a X
ADVERBIA'R	a dZ v e R b i a X
ADVERSA'R	a dZ v e X s a X
ADVERSATI'VO	a dZ v e X s a tS i v u
ADVE'RSO	a dZ v E X s u
ADVERSÁ'RIO	a dZ v e X s a r i u
ADVERSÃ'O	a dZ v e X s a~ w~
ADVERTI'R	a dZ v e X tS i X
ADVERTÊ'NCIA	a dZ v e X t e~ s i a
ADVI'NDO	a dZ v i~ d u
ADVI'R	a dZ v i X
ADVOCACI'A	a dZ v o k a s i a
ADVOCATU'RA	a dZ v o k a t u r a
ADVOCATÓ'RIO	a dZ v o k a t O r i u
ADVOGA'DO	a dZ v o g a d u
ADVOGA'R	a dZ v o g a X
ADVÉ'RBIO	a dZ v E R b i u
ADÁ'GIO	a d a Z i u
ADÃ'O	a d a~ w~
ADÔ'NIS	a d o n i s
ADÚ'LTERO	a d u w t e r u
AEROBALÍ'STICA	a e r o b a l i s tS i k a
AERODINÂ'MICA	a e r o dZ i~ n a~ m i k a
AERODINÂ'MICO	a e r o dZ i~ n a~ m i k u
AERODU'TO	a e r o d u t u
AEROESPACIA'L	a e r o e s p a s i a w
AEROGRA'MA	a e r o g r a~ m a
AEROMODELI'SMO	a e r o m o d e l i z m u
AEROMOTO'R	a e r o m o t o X
AERONA'UTA	a e r o n a u t a
AERONA'VE	a e r o n a v i
AERONAVEGAÇÃ'O	a e r o n a v e g a s a~ w~
AERONÁ'UTICA	a e r o n a u tS i k a
AERONÁ'UTICO	a e r o n a u tS i k u
AEROPLANI'SMO	a e r o p l a n i z m u
AEROPLA'NO	a e r o p l a~ n u
AEROPO'RTO	a e r o p o X t u
AEROPORTUÁ'RIO	a e r o p o X t u a r i u
AEROPOSTA'L	a e r o p o s t a w
AEROSCOPI'A	a e r o s k o p i a
AEROSCÓ'PIO	a e r o s k O p i u
AEROSSO'L	a e r o s O w
AEROTRANSPORTA'DO	a e r o t r a~ s p o X t a d u
AERÓ'BICO	a e r O b i k u
AERÓ'DROMO	a e r O d r o m u
AFABILIDA'DE	a f a b i l i d a dZ i
AFABILÍ'SSIMO	a f a b i l i s i~ m u
AFADIGA'R	a f a dZ i g a X
AFAGADO'R	a f a g a d o X
AFAGA'R	a f a g a X
AFA'GO	a f a g u
AFAGO'SO	a f a g o z u
AFAMA'R	a f a m a X
AFANA'R	a f a n a X
AFANO'SO	a f a n o z u
AFASI'A	a f a z i a
AFASTADO'R	a f a s t a d o X
AFASTA'R	a f a s t a X
AFAZE'R	a f a z e X
AFAZE'RES	a f a z e r i s
AFEGÃ'O	a f e g a~ w~
AFE'ITO	a f ej t u
AFEIÇOA'R	a f e j s o a X
AFEIÇÃ'O	a f e j s a~ w~
AFEMINA'R	a f e m i~ n a X
AFERE'NTE	a f e r e~ tS i
AFERI'R	a f e r i X
AFERRA'R	a f e R a X
AFERROA'R	a f e R o a X
AFERROLHA'R	a f e R o L a X
AFETA'NTE	a f e t a~ tS i
AFETA'R	a f e t a X
AFETI'VO	a f e tS i v u
AFE'TO	a f E t u
AFETUO'SO	a f e t u o z u
AFEÇÃ'O	a f e s a~ w~
AFIADE'IRA	a f i a d ej r a
AFIADO'R	a f i a d o X
AFIAMBRA'R	a f i a~ b r a X
AFIANÇA'R	a f i a~ s a X
AFIA'R	a f i a X
AFICIONA'DO	a f i s i o n a d u
AFIDALGA'R	a f i d a w g a X
AFIGURA'R	a f i g u r a X
AFIGURATI'VO	a f i g u r a tS i v u
AFILA'R	a f i l a X
AFILHA'DO	a f i L a d u
AFILHA'R	a f i L a X
AFILIA'R	a f i l i a X
AFILIAÇÃ'O	a f i l i a s a~ w~
AFI'M	a f i~
AFINADO'R	a f i~ n a d o X
AFINA'GEM	a f i~ n a Z e~j~
AFINA'L	a f i~ n a w
AFINA'R	a f i~ n a X
AFINCA'R	a f i~ k a X
AFI'NCO	a f i~ k u
AFINFA'R	a f i~ f a X
AFINIDA'DE	a f i~ n i d a dZ i
AFIRMA'R	a f i R m a X
AFIRMATI'VA	a f i R m a tS i v a
AFIRMATI'VO	a f i R m a tS i v u
AFIRMAÇÃ'O	a f i R m a s a~ w~
AFIVELA'R	a f i v e l a X
AFIXA'R	a f i k s a X
AFI'XO	a f i k s u
AFLAUTA'R	a f l a u t a X
AFLEUMA'R	a f l e u~ m a X
AFLIGI'R	a f l i Z i X
AFLITI'VO	a f l i tS i v u
AFLI'TO	a f l i t u
AFLIÇÃ'O	a f l i s a~ w~
AFLORA'R	a f l o r a X
AFLUE'NTE	a f l u e~ tS i
AFLUI'R	a f l u i X
AFLU'XO	a f l u k s u
AFLUÊ'NCIA	a f l u e~ s i a
AFOCINHA'R	a f o s i~ J a X
AFOFA'R	a f o f a X
AFOGADE'LA	a f o g a d E l a
AFOGADI'ÇO	a f o g a dZ i s u
AFOGA'R	a f o g a X
AFO'GO	a f O g u
AFOGUEA'R	a f o g e a X
AFOITA'R	a f o j t a X
AFOITE'ZA	a f o j t e z a
AFO'ITO	a f o j t u
